ref,score,bit_family,equation_family,bit_ops,solver,training,inference,chars,path
konbu17/bit-manipulation-solver-cot-generator,459,34,1,114,2,0,2,58335,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__bit-manipulation-solver-cot-generator
pjt222/nemotron-cot-review,453,23,19,105,2,2,0,90487,artifacts\v527_kaggle_code_audit\pulled_code\pjt222__nemotron-cot-review
zzys0316/full-pipeline-nvidia-nemotron-3-reasoning,420,12,13,88,5,16,40,131077,artifacts\v527_kaggle_code_audit\pulled_code\zzys0316__full-pipeline-nvidia-nemotron-3-reasoning
pearpn25/bit-cot-85-1364-sample,405,9,0,118,3,0,9,76542,artifacts\v527_kaggle_code_audit\pulled_code\pearpn25__bit-cot-85-1364-sample
matthewblakeward/glyphmatics-d4c-cipher-98substitution,368,8,3,108,1,6,0,84605,artifacts\v527_kaggle_code_audit\pulled_code\matthewblakeward__glyphmatics-d4c-cipher-98substitution
johnnyhyland/nvidia-nemotron-sft-grpo-colab-faster,303,11,8,57,10,19,6,58499,artifacts\v527_kaggle_code_audit\pulled_code\johnnyhyland__nvidia-nemotron-sft-grpo-colab-faster
amanatar/nemotron-ultimate-sft-grpo-v3,283,13,11,54,7,7,7,48034,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__nemotron-ultimate-sft-grpo-v3
yashm917/nemotronmodel-reasoning-0-72-lb-score-unsloth,274,13,11,59,3,7,3,23167,artifacts\v527_kaggle_code_audit\pulled_code\yashm917__nemotronmodel-reasoning-0-72-lb-score-unsloth
llkh0a/nemotron-unsloth-sft-training-3-30-2,239,15,14,25,3,16,46,81190,artifacts\v527_kaggle_code_audit\pulled_code\llkh0a__nemotron-unsloth-sft-training-3-30-2
nguyenducdung1107/colsmol-training-with-rtx6000,224,0,0,63,0,3,32,90531,artifacts\v527_kaggle_code_audit\pulled_code\nguyenducdung1107__colsmol-training-with-rtx6000
teasue05/tinker-submission-notebook,207,1,2,33,0,10,89,33735,artifacts\v527_kaggle_code_audit\pulled_code\teasue05__tinker-submission-notebook
mohankrishnathalla/nemotron-6-puzzle-types-decoded-rule-solvers,186,29,15,10,4,2,2,28306,artifacts\v527_kaggle_code_audit\pulled_code\mohankrishnathalla__nemotron-6-puzzle-types-decoded-rule-solvers
aliafzal9323/nemotron-30b-deterministic-solvers-cot-fine-tu,164,6,0,30,10,6,0,23594,artifacts\v527_kaggle_code_audit\pulled_code\aliafzal9323__nemotron-30b-deterministic-solvers-cot-fine-tu
occultainsights/synthetic-data-generation,162,7,6,41,0,0,0,27039,artifacts\v527_kaggle_code_audit\pulled_code\occultainsights__synthetic-data-generation
adilshamim8/nvidia-nemotron-model-reasoning-challenge-101,150,1,0,34,0,24,21,56066,artifacts\v527_kaggle_code_audit\pulled_code\adilshamim8__nvidia-nemotron-model-reasoning-challenge-101
amanatar/synthetic-nemotron-hard-reasoning,147,11,0,38,0,0,0,26887,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__synthetic-nemotron-hard-reasoning
konbu17/doc-to-lora-knowledge-injection-nemotron-3-nano,143,5,5,28,3,12,2,25542,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__doc-to-lora-knowledge-injection-nemotron-3-nano
konbu17/nemotron-tong-style-cot-sft-updated-v2,137,16,10,13,0,8,12,26231,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__nemotron-tong-style-cot-sft-updated-v2
ahmadzulfiqar001/exploratory-data-analysis-nvidia,136,0,0,41,0,9,4,40603,artifacts\v527_kaggle_code_audit\pulled_code\ahmadzulfiqar001__exploratory-data-analysis-nvidia
lalit7881/nvidia-reasoning-challenge,134,19,9,8,5,1,0,25997,artifacts\v527_kaggle_code_audit\pulled_code\lalit7881__nvidia-reasoning-challenge
impooping/nemotron-sft-reasoning-trajectories-dataset,121,11,11,15,0,9,1,19462,artifacts\v527_kaggle_code_audit\pulled_code\impooping__nemotron-sft-reasoning-trajectories-dataset
kienngx/nemotron-sft-reasoning-trajectories-dataset,121,11,11,15,0,9,1,19491,artifacts\v527_kaggle_code_audit\pulled_code\kienngx__nemotron-sft-reasoning-trajectories-dataset
warmtea/lb-training,120,1,1,25,5,11,3,24638,artifacts\v527_kaggle_code_audit\pulled_code\warmtea__lb-training
emanuellcs/nvidia-nemotron-sft,118,0,0,33,0,19,0,29939,artifacts\v527_kaggle_code_audit\pulled_code\emanuellcs__nvidia-nemotron-sft
sorajiang/notebooksft,118,9,8,19,0,9,1,21527,artifacts\v527_kaggle_code_audit\pulled_code\sorajiang__notebooksft
storm2501/nvidia-nemotron-two,114,3,0,31,0,12,0,19184,artifacts\v527_kaggle_code_audit\pulled_code\storm2501__nvidia-nemotron-two
mirzayasirabdullah07/nvidia-nemotron-model-reasoning-notebook,109,9,7,16,0,12,1,23058,artifacts\v527_kaggle_code_audit\pulled_code\mirzayasirabdullah07__nvidia-nemotron-model-reasoning-notebook
hammadfarooq470/nemotron-sft-lora-with-cot-selected-data,106,9,8,15,0,9,1,19013,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nemotron-sft-lora-with-cot-selected-data
konbu17/nemotron-sft-lora-with-cot,106,9,8,15,0,9,1,19047,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__nemotron-sft-lora-with-cot
huikang/tinker-submission-notebook,105,2,4,8,0,10,53,41305,artifacts\v527_kaggle_code_audit\pulled_code\huikang__tinker-submission-notebook
kalyankkr/all-6-puzzle-types-decoded-sft-training-data,103,14,6,9,0,15,1,27166,artifacts\v527_kaggle_code_audit\pulled_code\kalyankkr__all-6-puzzle-types-decoded-sft-training-data
johnjanson/agi-for-medal-0-87-is-possible,102,0,0,28,0,1,17,22963,artifacts\v527_kaggle_code_audit\pulled_code\johnjanson__agi-for-medal-0-87-is-possible
konbu17/cot-generation-for-nemotron-challenge,102,8,1,23,0,0,6,24585,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__cot-generation-for-nemotron-challenge
marcelocruzeta/nemotron-mrc-02-submission-v2,102,3,3,23,0,15,0,58695,artifacts\v527_kaggle_code_audit\pulled_code\marcelocruzeta__nemotron-mrc-02-submission-v2
hoangvux/nvidia-nemotron-synthetic-data,96,3,1,28,0,0,0,27152,artifacts\v527_kaggle_code_audit\pulled_code\hoangvux__nvidia-nemotron-synthetic-data
kacchanwriting/nemotron-baseline-v2,96,10,9,10,0,9,0,15151,artifacts\v527_kaggle_code_audit\pulled_code\kacchanwriting__nemotron-baseline-v2
saivimenthanvlai/nemotron-model-reasoning-challenge,96,2,0,18,7,0,1,14460,artifacts\v527_kaggle_code_audit\pulled_code\saivimenthanvlai__nemotron-model-reasoning-challenge
torpidoff/cot-nvidia-nemotron-3,90,3,0,25,0,0,6,18837,artifacts\v527_kaggle_code_audit\pulled_code\torpidoff__cot-nvidia-nemotron-3
tahaalam2009/end-to-end-finetuning-for-lb-0-82-csv-custom,82,2,4,13,0,25,0,23690,artifacts\v527_kaggle_code_audit\pulled_code\tahaalam2009__end-to-end-finetuning-for-lb-0-82-csv-custom
torpidoff/full-pipeline-nvidia-nemotron-3-reasoning,79,1,0,21,0,11,2,22974,artifacts\v527_kaggle_code_audit\pulled_code\torpidoff__full-pipeline-nvidia-nemotron-3-reasoning
