id,subtype,rule_class,status,prediction,answer,baseline_prediction,verified_by_weak_label,incorrect_by_weak_label,promotable_after_class_gate,query,example_count,candidate_program_count,unique_prediction_count,proof
09d5ee68,equation_symbolic_punct,symbolic_char_transducer,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,no_pair_mapping
09d5ee68,equation_symbolic_punct,symbolic_delete_selected_chars,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,delete_char_sets=; unique_prediction_count=0
09d5ee68,equation_symbolic_punct,symbolic_keep_selected_chars,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,keep_char_sets=; unique_prediction_count=0
09d5ee68,equation_symbolic_punct,symbolic_prefix_until_marker,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,markers=''; unique_prediction_count=0
09d5ee68,equation_symbolic_punct,symbolic_suffix_after_marker,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,markers=''; unique_prediction_count=0
09d5ee68,equation_symbolic_punct,symbolic_prefix_before_last_marker,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,markers=''; unique_prediction_count=0
09d5ee68,equation_symbolic_punct,symbolic_suffix_after_last_marker,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,markers=''; unique_prediction_count=0
09d5ee68,equation_symbolic_punct,symbolic_remove_first_marker,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,markers=''; unique_prediction_count=0
09d5ee68,equation_symbolic_punct,symbolic_position_template,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,nonuniform_rhs_lengths
09d5ee68,equation_symbolic_punct,symbolic_operator_index_template,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,programs=; unique_prediction_count=0
00457d26,equation_symbolic_punct,symbolic_char_transducer,abstain,,@&,[[!',False,False,False,[[-!',4,0,0,no_global_mapping
00457d26,equation_symbolic_punct,symbolic_delete_selected_chars,abstain,,@&,[[!',False,False,False,[[-!',4,0,0,delete_char_sets=; unique_prediction_count=0
00457d26,equation_symbolic_punct,symbolic_keep_selected_chars,abstain,,@&,[[!',False,False,False,[[-!',4,0,0,keep_char_sets=; unique_prediction_count=0
00457d26,equation_symbolic_punct,symbolic_prefix_until_marker,abstain,,@&,[[!',False,False,False,[[-!',4,0,0,markers=''; unique_prediction_count=0
00457d26,equation_symbolic_punct,symbolic_suffix_after_marker,abstain,,@&,[[!',False,False,False,[[-!',4,0,0,markers=''; unique_prediction_count=0
00457d26,equation_symbolic_punct,symbolic_prefix_before_last_marker,abstain,,@&,[[!',False,False,False,[[-!',4,0,0,markers=''; unique_prediction_count=0
00457d26,equation_symbolic_punct,symbolic_suffix_after_last_marker,abstain,,@&,[[!',False,False,False,[[-!',4,0,0,markers=''; unique_prediction_count=0
00457d26,equation_symbolic_punct,symbolic_remove_first_marker,abstain,,@&,[[!',False,False,False,[[-!',4,0,0,markers=''; unique_prediction_count=0
