row_no,source_path,id,family,status,accepted,block_reason,prompt_sha256,prompt_normalized_sha256,assistant_sha256,assistant_chars,boxed_count,reference_id_overlap,reference_prompt_sha_overlap,reference_normalized_prompt_overlap,reference_13gram_overlap_count
1,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00066667,bit_manipulation,rule_found,True,,63c78fc3d5452b7077814a54998abd643dec5c7f8306866680a346a44c85562a,8a5868171aa4ef5df43f81e6b84376dedf92421f715426fa82f3ffe31ed354d4,c37642eebbcba20a76ba1a671336452edb9ddf0a00cf502daedc0fb760dc12bb,9279,5,False,False,False,0
2,C:\Users\davis\Downloads\sft_reconstructed.jsonl,000b53cf,bit_manipulation,hypothesis_formed,False,reference_13gram_overlap,1544682f635af3c93b8d04175da1f29cd7874efaad48691498d1f3c2e3184e3c,d609d6557f5245ff84d9fe0d37f3b8c536d8c84d3ddafe0eae49d894da906a86,e0838744b1b9a91c724b650dd45cdf9c4bb0338e5a3cec07b7afe956b9f825b4,9394,5,False,False,False,3
3,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00189f6a,text_encryption,rule_found,False,non_target_family,ef7431de2bb94fd73b7a2935904334f33bdc1b08b4b668ca36a50dbbf0bfef24,5e85efd37a7c744f41cff6f74dfeaaf3d9c9fe4cf146606d1e3169ce1456027c,c5f8e8aab63956e0cf027b4ace5bf895d4e8607be7e22ff0bc56d65d3b742a58,6002,5,False,False,False,0
4,C:\Users\davis\Downloads\sft_reconstructed.jsonl,001b24c4,numeral_system,rule_found,False,non_target_family;reference_13gram_overlap,f3a8a9cea202fb49c66c2c4e0ae140f7f819031af903f06cf5c324a07e41f6a5,299f602b6e6a14de939f18ad1693accd2f255e206806d0a20ac20ea1d3fd515e,20de5fc4252dba4cca2d207f1d7286ca749f7cfc605e4fd63a8d9e13d4f804ff,413,4,False,False,False,4
5,C:\Users\davis\Downloads\sft_reconstructed.jsonl,001c63cb,text_encryption,rule_found,False,non_target_family,fcba9ca514a1dd3ed4d5840d0ac0e0deca478d9e795050d3f69698b6bca4db36,d9de8c1da6a1799a55575396aa5e2b53741440c121a13cf2f0b63b024b00cdc7,fb031086560085157f44a4cc4c0f56e8cadf3345fc240e6e50a8629ea976c27f,3640,5,False,False,False,0
6,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00208201,unit_conversion,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,f22e419124718f50a64c47e5ea2ffba1fa3bfbb1b75e52ee2283b983241719c9,b9f4553c00e1f2d9fe3cbcafd3056c46e265dcce7e4258df59da9d1ec7a06efd,34bac294f666c31cf1f1ad4fa21bd40511dfa0bbdcd3e297d692cfc3cf80c4b5,3810,5,True,False,False,51
7,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0031df9c,bit_manipulation,rule_found,False,reference_13gram_overlap,3f49184cb8889dda809bc841d7d1adaf85d7d75539892630dd5f2fcbe9652d8d,e5de7821d453639030169dc9774e1687ef334d6d2ee8517fae553b10b28dd73f,d3d25888694f3fd56d372141885373788a7e7abf4a2ed8f5603b815768b104df,8936,5,False,False,False,3
8,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0040ff76,gravity_constant,rule_found,False,non_target_family;reference_13gram_overlap,a1e508978f78a6c69e6c996628bf1a88f5d470390f2dba3cc99384e21dda4775,962713d0a050f060576687d56b2ab9a85b1712ea5dc5ae8cfaba5b79590ef035,bccc0fe25aaa1d4309dc88cdd3b6d0bc04bee4673b26e97a28658277919b7453,5539,5,False,False,False,2
9,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00457d26,equation_transform,rule_unknown,False,status_not_allowed;reference_id_overlap;reference_13gram_overlap,698fb9789f734baaa568192877e31d1060d8b98158828411f90e9ad5598d1320,7735e7ea982d105057790c24eb2e28109a68e66634dc7c073f7852191c1c934c,6fe8a4caba1d5c01913f4e687e4a85d3be71e38ef04525df5b8e0bcfdc3199ee,1358,5,True,False,False,47
10,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00463d04,gravity_constant,rule_found,False,non_target_family;reference_13gram_overlap,b879da0a281ef3c1e2734d0600a9ddcbf27521e6593a272bfe294bfc6f6ea554,f88456b8bd758b07a73241168bdb792720471aca634dae6373727f393f43105f,2e9585d87daeffad6bbe4902b75f75b0e87ab94efa95514850f51b1c857ae29d,6340,5,False,False,False,4
