selector,source,best_program_family,rows,rows_with_candidates,baseline_correct,selected_correct,gains,losses,preserve_correct,still_wrong,net
critic_v2_only,critic_v2,numeric_abs_diff,21,21,17,8,1,10,7,3,-9
critic_v2_only,critic_v2,numeric_concat_outer,6,6,5,4,0,1,4,1,-1
critic_v2_only,critic_v2,numeric_left_plus_right,5,5,4,3,0,1,3,1,-1
critic_v2_only,critic_v2,numeric_mul,6,6,3,2,0,1,2,3,-1
critic_v2_only,critic_v2,numeric_operator_prefix_absdiff,6,6,6,4,0,2,4,0,-2
critic_v2_only,critic_v2,numeric_other,9,9,5,1,1,5,0,3,-4
critic_v2_only,critic_v2,numeric_positional_rewrite,12,12,9,2,0,7,2,3,-7
critic_v2_only,critic_v2,symbolic_drop_middle,5,5,4,4,0,0,4,1,0
critic_v2_only,critic_v2,symbolic_other,54,54,1,0,0,1,0,53,-1
critic_v2_only,critic_v2,symbolic_positional_rewrite,31,31,1,1,0,0,1,30,0
router_v1_only,router_v1,numeric_abs_diff,20,20,17,8,1,10,7,2,-9
router_v1_only,router_v1,numeric_concat_outer,6,6,5,4,0,1,4,1,-1
router_v1_only,router_v1,numeric_left_plus_right,5,5,4,3,0,1,3,1,-1
router_v1_only,router_v1,numeric_mul,6,6,3,2,0,1,2,3,-1
router_v1_only,router_v1,numeric_operator_prefix_absdiff,6,6,6,4,0,2,4,0,-2
router_v1_only,router_v1,numeric_other,8,8,4,1,1,4,0,3,-3
router_v1_only,router_v1,numeric_positional_rewrite,12,12,9,2,0,7,2,3,-7
router_v1_only,router_v1,repair,2,2,1,0,0,1,0,1,-1
router_v1_only,router_v1,symbolic_drop_middle,5,5,4,4,0,0,4,1,0
router_v1_only,router_v1,symbolic_other,54,54,1,0,0,1,0,53,-1
router_v1_only,router_v1,symbolic_positional_rewrite,31,31,1,1,0,0,1,30,0
critic_router_union,router_v1,numeric_abs_diff,20,20,17,8,1,10,7,2,-9
critic_router_union,router_v1,numeric_concat_outer,6,6,5,4,0,1,4,1,-1
critic_router_union,router_v1,numeric_left_plus_right,5,5,4,3,0,1,3,1,-1
critic_router_union,router_v1,numeric_mul,6,6,3,2,0,1,2,3,-1
critic_router_union,router_v1,numeric_operator_prefix_absdiff,6,6,6,4,0,2,4,0,-2
critic_router_union,router_v1,numeric_other,8,8,4,1,1,4,0,3,-3
critic_router_union,router_v1,numeric_positional_rewrite,12,12,9,2,0,7,2,3,-7
critic_router_union,router_v1,repair,2,2,1,0,0,1,0,1,-1
critic_router_union,router_v1,symbolic_drop_middle,5,5,4,4,0,0,4,1,0
critic_router_union,router_v1,symbolic_other,54,54,1,0,0,1,0,53,-1
critic_router_union,router_v1,symbolic_positional_rewrite,31,31,1,1,0,0,1,30,0
