id,family,target_rule_class,query,answer,simulated_wrong_prediction,postprocessor_prediction,postprocessor_proof,prompt_sha256,prompt_normalized_sha256,selected_for_prompt_pack
13892a7c,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,61-47,-85,85,-85,candidate=-85; baseline=85,e9943c536352297308a09941cb0bcca18b837f450ce2cc5909b2cc57a9936cbd,077b8182a347c5b2765c61e029b6315fae21d174bcf3fe10985d481591ab903f,True
13ad7bce,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,71-45,-73,73,-73,candidate=-73; baseline=73,c5f9957213cb967022e7c80f7fa0fe29ba6af537b04de031048e423201fa9196,7e1e4de36b821d65cd1b6809ca3ecb1dedcf99d0c1db4a2450cd6af2914bf2d8,True
1bc85bd9,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,16-22,93,-93,93,candidate=93; baseline=-93,f368a493c5214b8d50b2a3d8c57a7d0d71c60025a2ca45c98e141276033e0829,98c0d8374b273ae55e14023b7d1b127c5178b3a51d1f8786f561769f560413e1,True
39fd934f,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,32-23,-9,9,-9,candidate=-9; baseline=9,1ca565926f8da31bc52e5edb30a18d97e13deb5c1931b761ad64b30fd37dab87,f5afafb541dc4fdb0bc0d6f90ff8bd3e00697ac700fbb6944dfbbf38592b8844,True
56c59dfd,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,96-74,22,-22,22,candidate=22; baseline=-22,1d6f99aaeb8a2957d30f7be4d62032ca751cc3ea24c592f9a15dee364a6e6c07,ec0344a0c54bb1e7f27917e2270d89f14fe52c5ad4d931cacb662f66dbf06984,True
808a8f62,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,35-72,62,-62,62,candidate=62; baseline=-62,9cf01df0ddd3527a9ce3c89364b38e9fdcb62285aedc21e41953ddb077721e68,a9a66a3e72ec58344fe899a102805758e5919d78beb9911d9aef14e829e1f4f5,True
8d652f91,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,97-57,4,-4,4,candidate=4; baseline=-4,88b0b6edfaa8f55f020eaaa97c0a97a456bc0c5d542da7aabb21ab6331908144,ec78a008ee4c38e857b4668105d6eca55c5417391faa9cf5c3d9a39b070687e1,True
957c70fd,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,07-77,-7,7,-7,candidate=-7; baseline=7,44f23a5a60afd298d364d41b9a0befdf20406129c0d1ee8dd12a808e3a06c373,4ab720c8e00ef9d9e068684594d37a4ca1dc4fc4a2e40ca6fdb3ba983c8728fc,True
9d4ae6b8,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,51-35,16,-16,16,candidate=16; baseline=-16,e50323134eae458ad2692925a2fd93e309f12dfd3f7b112b38f298ec3f99be2f,1b30f1e2c16d127173fef82181aa4dd0f8553ce3ed337f91b620ca32ff66f417,True
9fb854c3,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,83-43,4,-4,4,candidate=4; baseline=-4,3ed2f34c68d26c6e051c09d1287e6e5811523392142765c90e17619951f74b13,94f0b086246b6d28ec9d25d7d1c62113fee63fe7e65653dc04a75f9996a2c07d,True
9ff6e9d2,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,65-54,11,-11,11,candidate=11; baseline=-11,7feef7775848da821b19b3ecb41f1d2ae34adcb664ec994a09297e397bedab43,6ead74d4f50548ba4849b245a9c826c775b7098481bc97db5f1c9a06973dfced,True
a7d582da,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,92-41,51,-51,51,candidate=51; baseline=-51,a60fd2ad60dd8b198618107a21ed462bcfcfe29e190f113e828a7090a58bca91,111c5aaad96698e71716e8ec4f3ffb7a353d3e1312ef5dfb8de02cbf62c48636,True
b62453dc,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,43-19,-75,75,-75,candidate=-75; baseline=75,1c51c54b23e4ab9f7542221d5d845a61a357b8187244f47921a6c100d63a1404,be48153a3f2a11f7cdf2518b675f48bbecf59c8b86d939d2d51bf7ab7fb36cd2,True
b643d81f,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,97-07,9,-9,9,candidate=9; baseline=-9,429af6e819925805ac841b51745e4137c7a21701318cdee6e3a59dd5124bc419,bb40e1d7ce034ccaa3ae9d7a1fa60c963dd2941d02c373485ccd9f5371cc7896,True
c613082a,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,78-47,31,-31,31,candidate=31; baseline=-31,f238bb494c5298f4a89ffce196a2f91b70c2bc7913ab6f124828cdfbda2e902b,2f585a4a7a09fcc3b0aadbeeeb83590f91f1149dbbd3ffb4247017901aa7846c,True
cb2fdb6b,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,08-53,54,-54,54,candidate=54; baseline=-54,a314e8cc7c8b4d228783d52a4907117621a15a6d699471c8086f3636d1ab4ba0,3a2d94659bd620278394341eead44715020a3088d5b6a0bb2926646ba89365d8,True
d17d3a7a,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,66-67,-01,01,-01,candidate=-01; baseline=01,bfb956c25a7348e27296d06ef842ae7037f1991ffd3bbc0d6855aaa83236dd9d,179c93834583d82973c9baa3d9cb57fdbba1774bb2a3a708ac91441dfeb4e73d,True
d78128b2,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,73-21,52,-52,52,candidate=52; baseline=-52,a1f0a3f44954a57e13198e415f32c4c3c1a26e7204f4aeaa10511e70b636e998,d2d21d34b2feac6cd7b53b974628107f6be7ac804e78741500a806980fed6ed1,True
debff779,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,36-41,94,-94,94,candidate=94; baseline=-94,45fddef5ed666b7cfb0de030ed0a25e6feac5e6a96fb332e9833afe478da89b1,c647a78cbed2aa6c5b4b393d8736269a58d33fe0d374fdcdf16cdea50cb1a400,True
e836fb20,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,89-21,68,-68,68,candidate=68; baseline=-68,c86c1fad8546eb2477e2cf69c9cb060a6534b30f38cc33fd2d566dcb01c2dad3,4ac54de63768b3b0f14d28247db7d3c9023979d9b8c5d16478236bcc1d2f7782,True
fb3f7b77,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,46-83,62,-62,62,candidate=62; baseline=-62,3f1930fd186329eb20aa73d4992d3c1e6390b1b7d7d585053765a4b7bb1296e4,aae6c3e8b4c10ec6cce9baa95e5a4d07d054180f5a5a638ee3f0537268eea4e1,True
fc7e53c7,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,77-35,42,-42,42,candidate=42; baseline=-42,1109de534806888219a7c10604de54f30318cf527e4ca65b312e53cfacc28791,5bfe97ef3bb63c8a27cc3caff109dbaa8cdfaaa850be874820d7818764b2108b,True
