candidate_name,candidate_path,id,family,answer,stored_prediction,label_free_prediction,v274_prediction,label_free_correct,v274_correct,v274_rule,v274_applied
v333_tong_bit_reasoner_gate_tong_bit_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,7688e06e,equation_transform,-55,55,55,-55,False,True,minus_signed_opposite_sign_guarded,True
v333_tong_bit_reasoner_gate_tong_bit_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,274def88,equation_transform,92,-92,-92,92,False,True,minus_signed_opposite_sign_guarded,True
v333_tong_bit_reasoner_gate_tong_bit_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,d1bd7478,equation_transform,30,03,03,30,False,True,colon_absdiff_unreverse_same_len,True
v333_tong_bit_reasoner_gate_tong_bit_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,c5b058d6,equation_transform,134,35,35,134,False,True,add_direct_over_model_add_variant,True
v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,7688e06e,equation_transform,-55,55,55,-55,False,True,minus_signed_opposite_sign_guarded,True
v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,274def88,equation_transform,92,-92,-92,92,False,True,minus_signed_opposite_sign_guarded,True
v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,d1bd7478,equation_transform,30,3,03,30,False,True,colon_absdiff_unreverse_same_len,True
v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,c5b058d6,equation_transform,134,35,35,134,False,True,add_direct_over_model_add_variant,True
v290_checkpoint6_baseline_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,7688e06e,equation_transform,-55,55,55,-55,False,True,minus_signed_opposite_sign_guarded,True
v290_checkpoint6_baseline_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,274def88,equation_transform,92,-92,-92,92,False,True,minus_signed_opposite_sign_guarded,True
