cluster_key,subtype,rows,v324_verified_gains,v496_verified_gains,still_unresolved,priority_reason_counts
equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_symbolic_punct,11,0,0,11,"{""opaque_symbolic_residual"": 11}"
equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_symbolic_punct,11,0,0,11,"{""opaque_symbolic_residual"": 10, ""v324_had_candidate_but_failed"": 1}"
equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_symbolic_punct,9,0,0,9,"{""answer_chars_seen_in_outputs"": 9}"
equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_symbolic_punct,8,0,0,8,"{""answer_chars_seen_in_outputs"": 8}"
equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_symbolic_punct,8,0,0,8,"{""opaque_symbolic_residual"": 8}"
equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_symbolic_punct,7,0,0,7,"{""answer_chars_seen_in_outputs"": 7}"
equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_symbolic_punct,6,0,0,6,"{""opaque_symbolic_residual"": 6}"
equation_numeric_operator|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_numeric_operator,4,0,0,4,"{""numeric_operator_residual"": 3, ""numeric_operator_residual|v324_had_candidate_but_failed"": 1}"
equation_numeric_operator|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_numeric_operator,4,0,0,4,"{""numeric_operator_residual"": 4}"
equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_symbolic_punct,4,0,0,4,"{""opaque_symbolic_residual"": 4}"
equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_symbolic_punct,4,0,0,4,"{""answer_chars_seen_in_outputs"": 4}"
equation_numeric_operator|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_numeric_operator,3,2,0,1,"{""numeric_operator_residual|v324_had_candidate_but_failed"": 3}"
equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_symbolic_punct,3,0,0,3,"{""answer_chars_seen_in_outputs"": 3}"
equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_symbolic_punct,2,0,0,2,"{""answer_chars_seen_in_outputs"": 2}"
equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,equation_symbolic_punct,2,0,0,2,"{""answer_chars_subset_query|answer_subsequence_query|answer_chars_seen_in_outputs"": 2}"
equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_symbolic_punct,2,0,0,2,"{""answer_chars_seen_in_outputs"": 2}"
equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_symbolic_punct,2,0,0,2,"{""opaque_symbolic_residual"": 2}"
equation_numeric_operator|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_numeric_operator,1,0,0,1,"{""numeric_operator_residual"": 1}"
equation_numeric_operator|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_numeric_operator,1,0,0,1,"{""numeric_operator_residual|answer_chars_seen_in_outputs"": 1}"
equation_numeric_operator|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_numeric_operator,1,1,0,0,"{""numeric_operator_residual|v324_had_candidate_but_failed"": 1}"
equation_numeric_operator|alen=2|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,equation_numeric_operator,1,1,0,0,"{""numeric_operator_residual|answer_chars_subset_query|answer_subsequence_query|answer_chars_seen_in_outputs|v324_had_candidate_but_failed"": 1}"
equation_numeric_operator|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_numeric_operator,1,0,0,1,"{""numeric_operator_residual|answer_chars_seen_in_outputs"": 1}"
equation_symbolic_punct|alen=1|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_symbolic_punct,1,0,0,1,"{""answer_chars_seen_in_outputs"": 1}"
equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,equation_symbolic_punct,1,0,0,1,"{""opaque_symbolic_residual"": 1}"
equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=0|ans_subseq_q=1,equation_symbolic_punct,1,0,1,0,"{""answer_chars_subset_query|answer_subsequence_query"": 1}"
equation_symbolic_punct|alen=2|qlen=3|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,equation_symbolic_punct,1,0,0,1,"{""answer_chars_seen_in_outputs"": 1}"
