ref,title,author,lastRunTime,totalVotes
thunvng/gen-xloop-d2048-n4-s5,gen-xloop-d2048-n4-s5,Thuận Vương,2026-05-16 14:34:18.183000,0
leehoangquan006/gen-vanilla-d2048-s5,gen-vanilla-d2048-s5,Lê Hoàng Quân,2026-05-16 14:34:17.770000,0
jeromejoseph2026/sft-lora-unit-conversion,sft_lora_unit_conversion,Jerome Joseph,2026-05-16 17:37:06.693000,0
krishnapanjiyar123/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,krishna panjiyar,2026-05-16 06:02:57.660000,0
thunvng/lle-xloop-d2048-n4-50b-wsd-s4,lle-xloop-d2048-n4-50b-wsd-s4,Thuận Vương,2026-05-16 02:18:28.703000,0
leehoangquan006/lle-vanilla-d2048-50b-wsd-s4,lle-vanilla-d2048-50b-wsd-s4,Lê Hoàng Quân,2026-05-16 02:18:14.983000,0
dnglethnh/lle-pcc-reason-d2048-50b-wsd-s4,lle-pcc-reason-d2048-50b-wsd-s4,Dũng Lê Thành,2026-05-16 02:21:47.227000,0
dhruvb2028/nemotron-comp,Nemotron Comp,Dhruv Bansal,2026-05-16 06:30:42.527000,0
vtsywm/smollm2-teacher-logits-v1,SmolLM2 Teacher Logits v1,vtsywm,2026-05-15 08:52:40.230000,0
backuppesol/prep-vectors-aya,prep_vectors_aya,Backup Pesol,2026-05-15 10:15:50.433000,0
skripsipesolmokelar/fork-of-oracle-full-run-desire-create-allies-norm,Fork of oracle_full_run_desire_create_allies_norm,skripsi pesol mo kelar,2026-05-14 15:12:23.270000,0
skripsipesolmokelar/fork-of-oracle-full-run-desire-create-allies,Fork of oracle_full_run_desire_create_allies,skripsi pesol mo kelar,2026-05-14 14:45:26.767000,1
syu21125/nemotron-v39-huikang-reasoning-sft-submit,Nemotron v39 huikang reasoning sft submit,SYU21125,2026-05-14 13:08:14.740000,0
markjcooper/thk-v27-fork-2026-05-14,THK V27 fork 2026-05-14,Mark Cooper,2026-05-14 12:31:09.367000,0
privatepiecerec/submission-qc-5-layer-framework,Submission QC: 5-Layer Framework,PrivatePieceRec,2026-05-14 12:12:30.927000,0
suryamilenial/fork-of-fork-of-fork-of-nvidia-nemotron-mod-4291c4,Fork of Fork of Fork of NVIDIA Nemotron Mod 4291c4,Surya milenial,2026-05-13 14:50:55.117000,1
suryamilenial/fork-of-nvidia-nemotron-model-notebook,Fork of NVIDIA Nemotron Model Notebook,Surya milenial,2026-05-13 14:29:38.360000,1
tuetrandoanminh/eval-pcc-d2048-reason-tight,eval-pcc-d2048-reason-tight,Tue Tran Doan Minh,2026-05-12 16:08:55.087000,0
truongdinhduc06/pretrain-sanity-gpumon,pretrain-sanity-gpumon,Trương Đình Đức,2026-05-12 15:47:58.147000,0
xduan7/nemotron-bit-verifier-append-memcheck,Nemotron Bit Verifier Append Memcheck,Xiaotian Duan,2026-05-12 15:29:59.750000,0
xduan7/nemotron-bit-verifier-replace-memcheck,Nemotron Bit Verifier Replace Memcheck,Xiaotian Duan,2026-05-12 15:29:56.603000,0
tanluu/stage2-pcc-v12-k16-v2,stage2-pcc-V12-k16-v2,tan luu,2026-05-12 14:45:42.450000,0
tanluu/stage2-pcc-listops,stage2-pcc-listops,tan luu,2026-05-12 14:33:00.663000,0
tanluu/stage2-pcc-v24-k8,stage2-pcc-V24-k8,tan luu,2026-05-12 14:29:11.270000,0
tanluu/stage2-pcc-modular,stage2-pcc-modular,tan luu,2026-05-12 14:29:10.713000,0
tanluu/stage2-vanilla-listops-v3,stage2-vanilla-listops-v3,tan luu,2026-05-12 13:57:02.030000,0
nguyenduongtrong/stage2-vanilla-modular-v2,stage2-vanilla-modular-v2,Nguyen Duong Trong,2026-05-12 13:52:14.363000,0
truongdinhduc06/stage2-vanilla-v12-k8-deep,stage2-vanilla-V12-k8-deep,Trương Đình Đức,2026-05-12 13:25:18.320000,0
dfbjdsbds/stage2-vanilla-v24-k8,stage2-vanilla-V24-k8,Space_cowboy,2026-05-12 13:25:17.650000,0
tuananhtran37/stage2-vanilla-v12-k16,stage2-vanilla-V12-k16,Tuan Anh Tran 37,2026-05-12 13:25:16.657000,0
xduan7/nemotron-bit-verifier-append-eval,Nemotron Bit Verifier Append Eval,Xiaotian Duan,2026-05-12 13:23:14.830000,0
xduan7/nemotron-bit-verifier-replace-eval,Nemotron Bit Verifier Replace Eval,Xiaotian Duan,2026-05-12 13:23:11.713000,0
dfbjdsbds/stage2-vanilla-mp-v2,stage2-vanilla-mp-v2,Space_cowboy,2026-05-12 12:30:12.603000,0
tanluu/stage2-pcc-mp-v2,stage2-pcc-mp-v2,tan luu,2026-05-12 12:30:12.070000,0
mtoshidesu/testnvidia-comp,testNVIDIA_COMP,m-toshi desu,2026-05-12 12:22:29.727000,0
dfbjdsbds/stage2-vanilla-d2048-s4,stage2-vanilla-d2048-s4,Space_cowboy,2026-05-12 11:27:14.247000,0
tanluu/stage2-pcc-d2048-reason,stage2-pcc-d2048-reason,tan luu,2026-05-12 11:27:11.293000,0
nguyenduongtrong/pretrain-sanity-bigbatch16-vanilla,pretrain-sanity-bigbatch16-vanilla,Nguyen Duong Trong,2026-05-12 10:55:07.157000,0
nguyenduongtrong/pretrain-sanity-bigbatch16-watch,pretrain-sanity-bigbatch16-watch,Nguyen Duong Trong,2026-05-12 10:40:59.697000,0
truongdinhduc06/pretrain-sanity-bigbatch16,pretrain-sanity-bigbatch16,Trương Đình Đức,2026-05-12 10:37:47.460000,0
nguyenduongtrong/pretrain-sanity-compile-watch,pretrain-sanity-compile-watch,Nguyen Duong Trong,2026-05-12 09:46:05.870000,0
