feature,rf,xgb,lgb,cat,avg
output_length_chars,0.21611888118109748,0.19049256,0.39524869016005165,0.13814844927085754,0.23500214402777087
has_trailing_dot_zero,0.08819632055235004,0.31515062,0.04535993684059427,0.17924563192152393,0.15698812696690745
has_comma_in_output,0.11849406945506893,0.17584743,0.02260819636833417,0.22534955234968848,0.13557481105748836
boxed_is_empty,0.04485797269724923,0.15886469,0.021531615588889687,0.12472700676967545,0.0874953217273344
has_latex_command,0.02923504046406539,0.08056842,0.01622048374363023,0.10160092551838626,0.05690621690821076
length_x_boxed,0.13425252161263976,0.00033436593,0.03796741548840881,0.0430793909506819,0.05390842349634958
has_nested_braces,0.017890332189590453,0.021504525,0.12689298787052322,0.020111491156208052,0.04659983407788653
output_length_tokens_est,0.158420912884927,0.0,0.003947462857963109,0.021165564356885165,0.04588348502494381
answer_length,0.028403099926759774,0.0057788,0.13076867867652336,0.00544339631178201,0.042598493786384604
family_equation_transform,0.008090658758825612,0.013496793,0.07428407378166942,0.03033629454877476,0.03155195499112502
nested_x_latex,0.028590555049651675,0.0,0.0,0.07564273475210222,0.026058322450438473
answer_is_numeric,0.007461550070941165,0.024241606,0.0436374075934831,0.010225987245012676,0.021391637670751272
answer_is_string,0.007754450158198001,0.0,0.021746931744778583,0.01489331979669815,0.011098675424918682
output_format_boxed,0.030524281269209246,0.0031063936,0.007679609560037322,0.0026394749075167867,0.010987439838818131
output_format_final_answer,0.03012187536113998,0.0,0.0,0.0013492547346910747,0.007867782523957763
answer_is_binary,0.003823146298740331,0.0055724834,0.015143902964185746,0.003118562127736227,0.00691452369996461
num_boxes_in_output,0.025546879514090244,0.0,0.0,0.00018057216565903393,0.00643186291993732
family_numeral,0.0012052798779142273,0.0,0.020455034809445202,0.00027738576922609797,0.005484425114146382
family_gravity,0.002164633071143688,0.004214918,0.0043063231177779375,0.0008133905140552975,0.0028748161195551107
answer_leading_zero,0.0009251403798806772,0.00082642445,0.006890116988444699,0.00021874912649215035,0.0022151077370562633
family_x_dot_zero,0.006038848411321256,0.0,0.0005741764157037249,0.00015925040102992587,0.0016930688070137267
family_x_comma,0.004092917655181649,0.0,0.0,0.0003614177985917663,0.001113583863443354
family_unit_conversion,0.003333236529898854,0.0,0.0006459484676666906,0.0004072910342999389,0.0010966190079663707
family_bit_manipulation,0.0021977632161608467,0.0,0.0017225292471111748,7.003619315660744e-05,0.0009975821641071574
family_cipher,0.0011619172359281103,0.0,0.0023684777147778657,0.0003663894900367145,0.0009741961101856725
family_x_has_latex,0.00109771617802636,0.0,0.0,6.848078923166445e-05,0.00029154924181450613
has_unicode,0.0,0.0,0.0,0.0,0.0
has_scientific,0.0,0.0,0.0,0.0,0.0
has_underscore,0.0,0.0,0.0,0.0,0.0
output_format_plain,0.0,0.0,0.0,0.0,0.0
