split,id,family,rule_class,negative_type,status,reason,prompt_sha256,prompt_normalized_sha256,chosen_box,rejected_box,reference_id_overlap,reference_prompt_overlap,locked_before_answer_audit,has_adapter_raw_output,has_adapter_decode_config,has_adapter_identity,has_mdl,has_loo,has_renaming,source_dataset
train,v325_train_equation_00_00119_hard_negative_equation_near_miss,equation_transform,minus_signed_opposite_sign_guarded,hard_negative_equation_near_miss,blocked,missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,5306f54b3576f5ccc6f7539e020064d2eb1e942cc453a0ffb8690f6dadc8dc0a,16698228727f4bc33524bf37bd118c5fe49f9433f0a7943ad60cdc26a4b2271b,38,83,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_00_00119_format_negative_no_box,equation_transform,minus_signed_opposite_sign_guarded,format_negative_no_box,blocked,rejected_box_count_0;not_hard_negative;missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,5306f54b3576f5ccc6f7539e020064d2eb1e942cc453a0ffb8690f6dadc8dc0a,16698228727f4bc33524bf37bd118c5fe49f9433f0a7943ad60cdc26a4b2271b,38,,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_00_00119_format_negative_multiple_boxes,equation_transform,minus_signed_opposite_sign_guarded,format_negative_multiple_boxes,blocked,rejected_box_count_2;not_hard_negative;missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,5306f54b3576f5ccc6f7539e020064d2eb1e942cc453a0ffb8690f6dadc8dc0a,16698228727f4bc33524bf37bd118c5fe49f9433f0a7943ad60cdc26a4b2271b,38,,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_00_00119_format_negative_trailing_text,equation_transform,minus_signed_opposite_sign_guarded,format_negative_trailing_text,blocked,same_chosen_rejected_box;not_hard_negative;missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,5306f54b3576f5ccc6f7539e020064d2eb1e942cc453a0ffb8690f6dadc8dc0a,16698228727f4bc33524bf37bd118c5fe49f9433f0a7943ad60cdc26a4b2271b,38,38,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_01_00064_hard_negative_equation_near_miss,equation_transform,colon_absdiff_unreverse_same_len,hard_negative_equation_near_miss,blocked,missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,7e9548c659e6d2df6c6059be6f14e623f5df1d09403db7681c29ef97ae31a354,94e90b796ef08b59ef119365cdaddd0a47810f996c630c48871d69cc2dfbc516,59,95,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_01_00064_format_negative_no_box,equation_transform,colon_absdiff_unreverse_same_len,format_negative_no_box,blocked,rejected_box_count_0;not_hard_negative;missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,7e9548c659e6d2df6c6059be6f14e623f5df1d09403db7681c29ef97ae31a354,94e90b796ef08b59ef119365cdaddd0a47810f996c630c48871d69cc2dfbc516,59,,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_01_00064_format_negative_multiple_boxes,equation_transform,colon_absdiff_unreverse_same_len,format_negative_multiple_boxes,blocked,rejected_box_count_2;not_hard_negative;missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,7e9548c659e6d2df6c6059be6f14e623f5df1d09403db7681c29ef97ae31a354,94e90b796ef08b59ef119365cdaddd0a47810f996c630c48871d69cc2dfbc516,59,,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_01_00064_format_negative_trailing_text,equation_transform,colon_absdiff_unreverse_same_len,format_negative_trailing_text,blocked,same_chosen_rejected_box;not_hard_negative;missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,7e9548c659e6d2df6c6059be6f14e623f5df1d09403db7681c29ef97ae31a354,94e90b796ef08b59ef119365cdaddd0a47810f996c630c48871d69cc2dfbc516,59,59,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_02_00131_hard_negative_equation_near_miss,equation_transform,add_direct_over_model_add_variant,hard_negative_equation_near_miss,blocked,missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,89a176738e6eff34ea4ae16c87da410a0996e983e257ac8a1a8dd2f67eb4f50b,dfc27feb89f3d12fbef5df486a3707492e86b1ab7bf34db73cd6c7e4f37f496d,91,19,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_02_00131_format_negative_no_box,equation_transform,add_direct_over_model_add_variant,format_negative_no_box,blocked,rejected_box_count_0;not_hard_negative;missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,89a176738e6eff34ea4ae16c87da410a0996e983e257ac8a1a8dd2f67eb4f50b,dfc27feb89f3d12fbef5df486a3707492e86b1ab7bf34db73cd6c7e4f37f496d,91,,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_02_00131_format_negative_multiple_boxes,equation_transform,add_direct_over_model_add_variant,format_negative_multiple_boxes,blocked,rejected_box_count_2;not_hard_negative;missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,89a176738e6eff34ea4ae16c87da410a0996e983e257ac8a1a8dd2f67eb4f50b,dfc27feb89f3d12fbef5df486a3707492e86b1ab7bf34db73cd6c7e4f37f496d,91,,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_02_00131_format_negative_trailing_text,equation_transform,add_direct_over_model_add_variant,format_negative_trailing_text,blocked,same_chosen_rejected_box;not_hard_negative;missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,89a176738e6eff34ea4ae16c87da410a0996e983e257ac8a1a8dd2f67eb4f50b,dfc27feb89f3d12fbef5df486a3707492e86b1ab7bf34db73cd6c7e4f37f496d,91,91,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
train,v325_train_equation_01_00127_hard_negative_equation_near_miss,equation_transform,colon_absdiff_unreverse_same_len,hard_negative_equation_near_miss,blocked,missing_adapter_raw_output;missing_adapter_decode_config;missing_adapter_identity;missing_locked_before_answer_audit;missing_mdl_certificate;missing_loo_certificate;missing_renaming_certificate,6ef9626da5d6eb0a395327afe31d97f256a569babb0c0e51d5509a10acf9c881,39b385dca2d1409c53c38089cb84e5cc308374d523cc58adf6d3812648e9459c,56,65,False,False,False,False,False,False,False,False,False,v325_equation_no_loss_distill
