operator_set,subtype,rows
*+-=,equation_numeric_operator,3
@,equation_symbolic_punct,2
!'-[,equation_symbolic_punct,1
!$+>,equation_symbolic_punct,1
'-/>},equation_symbolic_punct,1
*:>|,equation_symbolic_punct,1
"""$%+",equation_symbolic_punct,1
)-:[,equation_symbolic_punct,1
'?@,equation_symbolic_punct,1
(+?^|,equation_symbolic_punct,1
!-<\{,equation_symbolic_punct,1
&-<>[,equation_symbolic_punct,1
%*=],equation_numeric_operator,1
"""%)]{",equation_symbolic_punct,1
-^|,equation_symbolic_punct,1
!#)-,equation_symbolic_punct,1
$&\,equation_symbolic_punct,1
+?@\},equation_symbolic_punct,1
'-=[,equation_numeric_operator,1
$)*],equation_symbolic_punct,1
*<?\{,equation_symbolic_punct,1
/,equation_symbolic_punct,1
&-=^,equation_numeric_operator,1
!-@]|,equation_symbolic_punct,1
*/@[,equation_symbolic_punct,1
!*:,equation_symbolic_punct,1
$-<>,equation_symbolic_punct,1
)<>],equation_symbolic_punct,1
#(-=,equation_numeric_operator,1
&+,equation_symbolic_punct,1
!#$^,equation_symbolic_punct,1
$'-/{,equation_symbolic_punct,1
(:<@|,equation_symbolic_punct,1
!#-\^,equation_symbolic_punct,1
$-/>,equation_symbolic_punct,1
=?@,equation_numeric_operator,1
$-<>\,equation_symbolic_punct,1
"!""-{",equation_symbolic_punct,1
!*@[|,equation_symbolic_punct,1
')+{,equation_symbolic_punct,1
$-<],equation_symbolic_punct,1
!&)>^,equation_symbolic_punct,1
!#&-],equation_symbolic_punct,1
-=,equation_numeric_operator,1
#,equation_symbolic_punct,1
#&*?,equation_symbolic_punct,1
'-^,equation_symbolic_punct,1
"""*:<{",equation_symbolic_punct,1
*>@,equation_symbolic_punct,1
""")*<]",equation_symbolic_punct,1
!(=`,equation_numeric_operator,1
!$&},equation_symbolic_punct,1
'>?,equation_symbolic_punct,1
%()<,equation_symbolic_punct,1
!#&)+,equation_symbolic_punct,1
:<},equation_symbolic_punct,1
"""'-/]",equation_symbolic_punct,1
#&+<,equation_symbolic_punct,1
:<=@,equation_numeric_operator,1
!&/?,equation_symbolic_punct,1
$>[{|,equation_symbolic_punct,1
!$-[,equation_symbolic_punct,1
$+?],equation_symbolic_punct,1
$)*{},equation_symbolic_punct,1
"""$*]",equation_symbolic_punct,1
!%/>,equation_symbolic_punct,1
"""$+[\",equation_symbolic_punct,1
],equation_symbolic_punct,1
$)+:,equation_symbolic_punct,1
#)=,equation_numeric_operator,1
"""*\}",equation_symbolic_punct,1
"""'(-|",equation_symbolic_punct,1
+>?]},equation_symbolic_punct,1
#-@|,equation_symbolic_punct,1
$&*|,equation_symbolic_punct,1
!+>,equation_symbolic_punct,1
$:=|,equation_numeric_operator,1
$'>|,equation_symbolic_punct,1
"""&)",equation_symbolic_punct,1
')<@},equation_symbolic_punct,1
(+?@,equation_symbolic_punct,1
&/:=,equation_numeric_operator,1
(*@^{,equation_symbolic_punct,1
%/?{,equation_symbolic_punct,1
!*=[,equation_numeric_operator,1
"""'?@]",equation_symbolic_punct,1
)*>},equation_symbolic_punct,1
!*<@|,equation_symbolic_punct,1
*:[{,equation_symbolic_punct,1
-[\},equation_symbolic_punct,1
*:?\^,equation_symbolic_punct,1
$(/@\,equation_symbolic_punct,1
*-=,equation_numeric_operator,1
#'>?{,equation_symbolic_punct,1
-?\|,equation_symbolic_punct,1
!%+<,equation_symbolic_punct,1
