id,family,answer,integrated_prediction,baseline_prediction,hamming_distance,hamming_positions,tong_prediction,tong_gain_vs_baseline,tong_loss_vs_baseline,tong_trace_sha256,route_hint
1abaffca,bit_manipulation,01000000,01011000,01011000,2,3;4,01011000,False,False,a7735560bbfc415650d2c37b4342bc09038112d1bd53c8703bc196b9c4f11815,low_hamming_bit_residual_candidate_for_stride_confidence
e6d2a064,bit_manipulation,11100011,11100010,11100010,1,7,11100010,False,False,58b090cb98c96ad671019afe2c632f375bd896bef03fab0c77ec89267c25c2fc,low_hamming_bit_residual_candidate_for_stride_confidence
0e70c867,bit_manipulation,01000000,01001100,01001100,2,4;5,01001000,False,False,57fd4f5b45e5ce0817e8a2032f9fbb82de61bc8df05a79ef8c66e4b2312ffb99,low_hamming_bit_residual_candidate_for_stride_confidence
b8722d19,bit_manipulation,00100100,11110100,11110100,3,0;1;3,11110100,False,False,aef7a1d0c23f750fbfc934c389dff3021fdd93a837fc38ea14783a81eeb48a27,complex_bit_residual_keep_baseline
05ca617c,bit_manipulation,11011011,01011011,01011011,1,0,01011011,False,False,f6032563d9357a8685d59d28a1058164af02b681f1199095af7415227c86291e,low_hamming_bit_residual_candidate_for_stride_confidence
7192535b,bit_manipulation,00000010,00001010,00001010,1,4,00001010,False,False,f3c38c997a85b85045e019ebdf87526af9ea5c8163f53057c1d7788ae5b558ae,low_hamming_bit_residual_candidate_for_stride_confidence
a6704625,bit_manipulation,00001101,00011111,00011111,2,3;6,00011111,False,False,7d08058669035379de338342af82c9fdd8d4b9ef8121ef362e24e88e1b8a6dd9,low_hamming_bit_residual_candidate_for_stride_confidence
f507b7f1,bit_manipulation,11001100,11011100,11011100,1,3,11011100,False,False,af856ddd9e685b2beeb49c9b6c501c565b4d4c2f1036e61b45def1e9520f78d8,low_hamming_bit_residual_candidate_for_stride_confidence
78d02fc5,bit_manipulation,11001001,11001011,11001011,1,6,11001011,False,False,8c1ff7e712d66597aedd3838e78fef87a47841283e1daa51bb0be7f2906564cc,low_hamming_bit_residual_candidate_for_stride_confidence
55d834d1,bit_manipulation,00111111,10111111,10111111,1,0,10111111,False,False,be205c431095ba02fa6f7b0eb9afe6c4433a1861e23f91df7cd53b4692d194ef,low_hamming_bit_residual_candidate_for_stride_confidence
4ef88f92,bit_manipulation,01010111,01010011,01010011,1,5,01011111,False,False,a37b7fe016ea0416991ec7c35782504ea518047c1cbc2ae76751d0d169fdc4dc,low_hamming_bit_residual_candidate_for_stride_confidence
1a7c8520,bit_manipulation,01100000,01100110,01100110,2,5;6,01100110,False,False,192e66c677b311cdb982ad88e49490eec9381840722bd600d2a4914005d59975,low_hamming_bit_residual_candidate_for_stride_confidence
202af98d,bit_manipulation,11111101,11111111,11111111,1,6,11111111,False,False,ff02f3af5566243e19c15319c728c297cea8361ab57be6ae2c79796c96fef217,low_hamming_bit_residual_candidate_for_stride_confidence
3ace787f,bit_manipulation,11111011,11111111,11111111,1,5,11111111,False,False,a739bb8f0367128e9b2f7b7c78ef13025289a462abd6760bd3d774e17bbb2fd9,low_hamming_bit_residual_candidate_for_stride_confidence
3a7dd604,bit_manipulation,01001010,01001011,01001011,1,7,01001011,False,False,577640eb0f6ea34e1a6c14ee7790fbec0f3d0dc6e8cef7aeb2d4936250290b63,low_hamming_bit_residual_candidate_for_stride_confidence
4ada9150,bit_manipulation,01111011,01111111,01111111,1,5,01111011,False,False,45f790520a604da8f0188c354e34e9b47517febd2455c04799d4997d8027f8ca,low_hamming_bit_residual_candidate_for_stride_confidence
a6192d29,bit_manipulation,00001000,01111110,01111110,5,1;2;3;5;6,01111110,False,False,4bd0bcac6b8738c4ca9d856ec17395cf4b67d071d9a5dd98b951e771acfe172b,complex_bit_residual_keep_baseline
048cc279,bit_manipulation,01010000,01111000,01111000,2,2;4,01111000,False,False,a5e9536e058593368d3da1a03a67036cc185e3c96eb45232724f0c74acb5161c,low_hamming_bit_residual_candidate_for_stride_confidence
06120e47,bit_manipulation,11110010,11111110,11111110,2,4;5,11111110,False,False,19df41e82b826c70b7c45dbc5ff19f38aaa48531cb41f031d96faa6a9edc1960,low_hamming_bit_residual_candidate_for_stride_confidence
e1f3ffbb,bit_manipulation,11111010,11111011,11111011,1,7,11111011,False,False,3dbc75833b5b282de1107cb32548fb72c164f32d4c5edf95eccb8e1d35cbab59,low_hamming_bit_residual_candidate_for_stride_confidence
4c327b55,bit_manipulation,11011100,11011110,11011110,1,6,11011110,False,False,d120b3bf5a64c63f8a79e1905e86d8d6437731a25d1aa88e7c177c067ad97a2d,low_hamming_bit_residual_candidate_for_stride_confidence
b8aa3072,bit_manipulation,00000011,00000111,00000111,1,5,00001111,False,False,899ca65e4273c842569debb6a3f3f78f5a6b29985af7cbcf2a802ca43bca4a0c,low_hamming_bit_residual_candidate_for_stride_confidence
82ae858c,bit_manipulation,11001101,11111101,11111101,2,2;3,11111101,False,False,f87298216a879e40160694c811c2e56943c6d5d04c6f08f6325f797970c34413,low_hamming_bit_residual_candidate_for_stride_confidence
5ba26f21,bit_manipulation,01011100,01111110,01111110,2,2;6,01111110,False,False,633613cd26b9314af72a91b10e0b96de0ebcfb6986f373b28b0aad46c4f6e264,low_hamming_bit_residual_candidate_for_stride_confidence
