id,subtype,answer,current_prediction,query,examples_count,query_len,answer_len,prediction_len,query_charset,answer_charset,query_symbols,example_input_symbols,example_output_symbols,query_symbols_seen_in_example_inputs,answer_chars_subset_query,answer_chars_subset_example_outputs,answer_is_subsequence_of_query,answer_is_substring_of_query,answer_reverse_is_substring_of_query,edit_distance_query_answer,v324_candidate_rows,v324_incorrect_candidates,v324_abstain_rows,cluster_key,priority_reason
274def88,equation_numeric_operator,92,-92,85-92,5,5,2,3,-2589,29,-,*+-,-,True,True,True,True,True,False,3,2,2,3,equation_numeric_operator|alen=2|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,numeric_operator_residual|answer_chars_subset_query|answer_subsequence_query|answer_chars_seen_in_outputs|v324_had_candidate_but_failed
48c25e0e,equation_numeric_operator,53,32,43&11,3,5,2,2,&134,35,&,-^,^,False,False,True,False,False,False,4,0,0,5,equation_numeric_operator|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,numeric_operator_residual|answer_chars_seen_in_outputs
d1bd7478,equation_numeric_operator,30,3,37:67,4,5,2,1,367:,03,:,$:|,,True,False,False,False,False,False,4,1,1,4,equation_numeric_operator|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual|v324_had_candidate_but_failed
ea6d926a,equation_numeric_operator,87,37,25+62,4,5,2,2,+256,78,+,*-,,False,False,False,False,False,False,5,0,0,5,equation_numeric_operator|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual
386b6d03,equation_numeric_operator,671,18,79'97,3,5,3,2,'79,167,',-[,-,False,False,False,False,False,False,5,0,0,5,equation_numeric_operator|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual
528ec0d8,equation_numeric_operator,-39,39,11-50,4,5,3,2,-015,-39,-,#(,,False,False,False,False,False,False,4,1,1,4,equation_numeric_operator|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual|v324_had_candidate_but_failed
5a0d5d2a,equation_numeric_operator,341,55,39+94,3,5,3,2,+349,134,+,*-,-,False,False,False,False,False,False,4,0,0,5,equation_numeric_operator|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual
7688e06e,equation_numeric_operator,-55,55,63-19,5,5,3,2,-1369,-5,-,-,,True,False,False,False,False,False,4,1,1,4,equation_numeric_operator|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual|v324_had_candidate_but_failed
a361a1b7,equation_numeric_operator,:46,46,53:99,5,5,3,2,359:,46:,:,<@,,False,False,False,False,False,False,4,0,0,5,equation_numeric_operator|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual
c5b058d6,equation_numeric_operator,134,35,94)40,4,5,3,2,)049,134,),#),,True,False,False,False,False,False,4,1,1,4,equation_numeric_operator|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual|v324_had_candidate_but_failed
e4cc7639,equation_numeric_operator,113,16,48*64,5,5,3,2,*468,13,*,![,,False,False,True,False,False,False,5,0,0,5,equation_numeric_operator|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,numeric_operator_residual|answer_chars_seen_in_outputs
fb623471,equation_numeric_operator,-21,21,08-29,3,5,3,2,-0289,-12,-,*-,,True,False,False,False,False,False,3,1,1,4,equation_numeric_operator|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual|v324_had_candidate_but_failed
20f0fac9,equation_numeric_operator,2976,65,31%96,4,5,4,2,%1369,2679,%,*],,False,False,False,False,False,False,4,0,0,5,equation_numeric_operator|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual
5a9fcf68,equation_numeric_operator,4443,4,24@28,3,5,4,1,248@,34,@,?,?,False,False,False,False,False,False,4,0,0,5,equation_numeric_operator|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual
861cb154,equation_numeric_operator,2271,10,14!24,3,5,4,2,!124,127,!,(`,(,False,False,False,False,False,False,5,0,0,5,equation_numeric_operator|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual
e1728524,equation_numeric_operator,1089,0,99/99,5,5,4,1,/9,0189,/,&:,&,False,False,False,False,False,False,4,0,0,5,equation_numeric_operator|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual
0d90736f,equation_symbolic_punct,:,::)[,::-)[,5,5,1,4,)-:[,:,)-:[,!$)*+-/:[\`|,$()/:[\`|,True,True,True,True,True,True,4,0,0,21,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query|answer_chars_seen_in_outputs
194695e8,equation_symbolic_punct,%,!\{<,!\-{<,3,5,1,4,!-<\{,%,!-<\{,!$%*-<\]{|,!%<{|,True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
518deb39,equation_symbolic_punct,$,{}>{,$$-<>,4,5,1,4,$-<>,$,$-<>,"!""$'(*+-<>",!'(<>\^,True,True,False,True,True,True,4,0,0,21,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=0|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query
59733f94,equation_symbolic_punct,/,$/>/,$/->/,5,5,1,4,$-/>,/,$-/>,#$*-/:>?[^{,#$-/>?[{},True,True,True,True,True,True,4,0,0,21,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query|answer_chars_seen_in_outputs
638f93ca,equation_symbolic_punct,@,$]<$,$<-]$,4,5,1,4,$-<],@,$-<],#$'*-<>?@]`,#'/<?@],True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
ca5db1c0,equation_symbolic_punct,^,"\boxed({""'|})","(""-'|",3,5,1,13,"""'(-|",^,"""'(-|","""%)*-?@^`","""%?^|",False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=1|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
0fe53bac,equation_symbolic_punct,"(""",^?(|,^?+(|,4,5,2,4,(+?^|,"""(",(+?^|,"!""()+-:?@^|}","""()-@}",True,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
208d7838,equation_symbolic_punct,[:,[&<>,[&-<>,5,5,2,4,&-<>[,:[,&-<>[,#$%&*+-:<[{},#$%&:[},False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
