id,family,candidate_source,rule_class,old_prediction,new_prediction,answer,old_correct,new_correct,accepted,rejection_reason,candidate_count,conflict_count,proof
e6d2a064,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,11100010,11100011,11100011,False,True,True,,16,0,"XNOR(SHL2,AND_NOT(ROL5,SHR7))"
0e70c867,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,01001100,01000000,01000000,False,True,True,,16,0,"AND(ROL2,OR(SHL4,SHR5))"
05ca617c,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,01011011,11011011,11011011,False,True,True,,32,0,"XNOR(ROL7,OR(ROL1,SHR1))"
a6704625,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,00011111,00001101,00001101,False,True,True,,8,0,"OR_NOT(SHR3,XOR(ROL4,SHL1))"
78d02fc5,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,11001011,11001001,11001001,False,True,True,,48,0,"XNOR(ROL2,OR(SHL6,SHR7))"
55d834d1,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,10111111,00111111,00111111,False,True,True,,16,0,"XNOR(SHL7,AND_NOT(ROL4,SHR3))"
4ef88f92,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,01010011,01010111,01010111,False,True,True,,8,0,"OR_NOT(SHR4,XOR(ROL1,SHL2))"
202af98d,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,11111111,11111101,11111101,False,True,True,,8,0,"OR_NOT(SHR1,XOR(ROL3,SHL1))"
3ace787f,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,11111111,11111011,11111011,False,True,True,,32,0,"XNOR(ROL3,OR(ROL6,SHR5))"
3a7dd604,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,01001011,01001010,01001010,False,True,True,,48,0,"XNOR(ROL7,OR(SHL6,SHR7))"
06120e47,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,11111110,11110010,11110010,False,True,True,,32,0,"OR_NOT(XOR(SHL2,SHR2),ROL2)"
e1f3ffbb,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,11111011,11111010,11111010,False,True,True,,32,0,"OR_NOT(XOR(SHL1,SHR4),ROL1)"
82ae858c,bit_manipulation,v357_bit_exact_global_ternary,bit_exact_global_ternary_unique_prediction,11111101,11001101,11001101,False,True,True,,8,0,"OR_NOT(SHR2,XOR(ROL5,SHL2))"
