id,subtype,baseline_prediction,answer,baseline_correct,accepted_cpu_prediction,accepted_cpu_correct,accepted_rule_class,accepted_candidate_source,accepted_proof,cluster_key,priority_reason,status,query,examples_count
09d5ee68,equation_symbolic_punct,|:>>,!?'!,False,,False,,,,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,unresolved_equation_miss,|:*>>,4
00457d26,equation_symbolic_punct,\boxed[[!'},@&,False,,False,,,,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,unresolved_equation_miss,[[-!',4
518deb39,equation_symbolic_punct,{}>{,$,False,,False,,,,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=0|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query,unresolved_equation_miss,$$-<>,4
82109e34,equation_symbolic_punct,'^^^',-@>,False,,False,,,,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,unresolved_equation_miss,'^-^^,4
e1728524,equation_numeric_operator,0,1089,False,,False,,,,equation_numeric_operator|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual,unresolved_equation_miss,99/99,5
e3bf0c2c,equation_symbolic_punct,@`',"""`",False,,False,,,,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,unresolved_equation_miss,@`}'',5
fdbdf50c,equation_symbolic_punct,|?|,"-\""",False,,False,,,,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,unresolved_equation_miss,|\-?|,5
47c1d8f5,equation_symbolic_punct,/`%`,]%],False,,False,,,,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,unresolved_equation_miss,/`#%`,4
f9a33aa1,equation_symbolic_punct,@($/,/((`,False,,False,,,,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,unresolved_equation_miss,@(\$/,4
f9799a68,equation_symbolic_punct,:^?\,&:/?,False,,False,,,,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,unresolved_equation_miss,:^*?\,4
c24074a8,equation_symbolic_punct,]]]%,&/,False,,False,,,,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,unresolved_equation_miss,]]`]%,5
893ffb06,equation_symbolic_punct,@``:,-@',False,,False,,,,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,unresolved_equation_miss,@`-`:,4
