id,category,weak_type,baseline_correct,answer_preview,masked_token_count,unmasked_token_count,included
00fdc0be,bit_manipulation,bit_manipulation,True,11111111,240,6913,True
01248b76,bit_manipulation,bit_manipulation,True,11000101,259,6525,True
02902eb3,cryptarithm_guess,equation_transform,False,>/,93,516,True
0290f51a,bit_manipulation,bit_manipulation,True,10101111,278,6936,True
0440e6ab,bit_manipulation,bit_manipulation,True,01100000,259,6535,True
07ceed47,bit_manipulation,bit_manipulation,True,10000101,240,6563,True
08d8d7e1,equation_numeric_deduce,equation_transform,True,88,120,5793,True
08df5363,bit_manipulation,bit_manipulation,True,01011100,278,6658,True
0bb591e6,cryptarithm_guess,equation_transform,False,%?<,94,594,True
0c2407ef,bit_manipulation,bit_manipulation,True,11000011,278,6894,True
0dfd7674,bit_manipulation,bit_manipulation,True,01001110,297,7103,True
0e3962f6,bit_manipulation,bit_manipulation,True,11111110,278,6905,True
0f2dec86,bit_manipulation,bit_manipulation,True,10111000,240,6133,True
0f7ddd75,bit_manipulation,bit_manipulation,True,11110110,297,7111,True
0fe06e8c,bit_manipulation,bit_manipulation,True,10010010,297,7244,True
114a7439,bit_manipulation,bit_manipulation,True,01110001,240,5967,True
1282c5c5,bit_manipulation,bit_manipulation,True,00001110,259,6590,True
12e0ac8c,bit_manipulation,bit_manipulation,True,10101001,297,7319,True
12e947ca,bit_manipulation,bit_manipulation,True,00111110,297,7183,True
16e73f0e,bit_manipulation,bit_manipulation,True,00000001,297,7520,True
1c566511,bit_manipulation,bit_manipulation,True,01010010,297,6930,True
1c671acc,bit_manipulation,bit_manipulation,True,11111101,278,6835,True
1d08947a,bit_manipulation,bit_manipulation,True,10010100,240,6185,True
1f7407ed,bit_manipulation,bit_manipulation,True,00101101,278,6931,True
20052c2f,bit_manipulation,bit_manipulation,True,01100110,278,6738,True
209c43f0,equation_numeric_deduce,equation_transform,True,101,117,5674,True
20cdbdb1,bit_manipulation,bit_manipulation,True,11100001,297,7053,True
20f0fac9,equation_numeric_guess,equation_transform,False,2976,113,6394,True
21245d76,bit_manipulation,bit_manipulation,True,01111111,259,6573,True
21261dc6,equation_numeric_deduce,equation_transform,True,-25,105,5937,True
21519be7,equation_numeric_deduce,equation_transform,True,35,105,5587,True
27cec7a9,equation_numeric_deduce,equation_transform,True,3341,128,5901,True
29e458d6,bit_manipulation,bit_manipulation,True,00010010,278,6807,True
2a5d4790,bit_manipulation,bit_manipulation,True,11111111,259,6560,True
2af7134e,equation_numeric_deduce,equation_transform,True,20,115,6206,True
2e2d60b2,equation_numeric_deduce,equation_transform,True,07,117,5703,True
2ead53dc,bit_manipulation,bit_manipulation,True,00000101,278,6591,True
2facfaa4,bit_manipulation,bit_manipulation,True,00111110,240,6292,True
30ba0cf4,bit_manipulation,bit_manipulation,True,01101101,259,6364,True
333d93ec,equation_numeric_deduce,equation_transform,True,7,127,6361,True
3383d4ec,equation_numeric_deduce,equation_transform,True,66,108,5562,True
339149c9,equation_numeric_deduce,equation_transform,True,3,126,6318,True
343095d3,bit_manipulation,bit_manipulation,True,01010100,297,7130,True
34c563c5,equation_numeric_deduce,equation_transform,True,04`,105,5616,True
3595c82c,bit_manipulation,bit_manipulation,True,10011011,240,6362,True
368f20dd,bit_manipulation,bit_manipulation,True,10000101,278,6754,True
386b6d03,equation_numeric_guess,equation_transform,False,671,108,5866,True
39c237c7,cryptarithm_deduce,equation_transform,True,{]``,96,510,True
3a148f6a,bit_manipulation,bit_manipulation,True,00100111,297,7308,True
3a67aa26,bit_manipulation,bit_manipulation,True,00101110,297,7353,True
3a90fdf6,bit_manipulation,bit_manipulation,True,10100000,278,7145,True
3c12aeb9,equation_numeric_deduce,equation_transform,True,321,127,6045,True
3c424916,equation_numeric_deduce,equation_transform,True,9351,109,5938,True
3cd80c64,bit_manipulation,bit_manipulation,True,01100100,240,6288,True
3cfc5f9c,bit_manipulation,bit_manipulation,True,01110111,240,6383,True
3d24aef4,bit_manipulation,bit_manipulation,True,10100101,278,6564,True
3ee36e0a,equation_numeric_deduce,equation_transform,True,-51,105,5616,True
3fa49035,equation_numeric_deduce,equation_transform,True,696,117,5572,True
3feeabea,bit_manipulation,bit_manipulation,True,10010010,278,6702,True
4166067c,bit_manipulation,bit_manipulation,True,01110110,240,6401,True
41e6cbfc,equation_numeric_deduce,equation_transform,True,9318,122,6065,True
42cb233d,equation_numeric_deduce,equation_transform,True,881,106,5517,True
432b1110,cryptarithm_guess,equation_transform,False,%[:?,105,642,True
4353cd0b,bit_manipulation,bit_manipulation,True,00100001,240,6155,True
44398869,equation_numeric_deduce,equation_transform,True,5913,133,6430,True
455b6b61,bit_manipulation,bit_manipulation,True,00111011,259,6742,True
46dd0f22,bit_manipulation,bit_manipulation,True,01010000,278,6680,True
4736daab,bit_manipulation,bit_manipulation,True,01000111,278,6626,True
48ae04f6,bit_manipulation,bit_manipulation,True,00000010,297,7134,True
48c25e0e,equation_numeric_guess,equation_transform,False,53,108,5843,True
49fb46e8,bit_manipulation,bit_manipulation,True,01001110,240,6102,True
4ada9150,bit_manipulation,bit_manipulation,False,01111011,297,7021,True
4aeed935,equation_numeric_deduce,equation_transform,True,1455,120,5632,True
4bb8c6cd,cryptarithm_guess,equation_transform,True,]}\!,108,724,True
4dbec546,equation_numeric_deduce,equation_transform,True,611,129,5622,True
4e4fb429,bit_manipulation,bit_manipulation,True,10111110,259,6540,True
4eb990f6,bit_manipulation,bit_manipulation,True,00000001,278,6761,True
528ec0d8,equation_numeric_guess,equation_transform,False,-39,119,6053,True
53329505,bit_manipulation,bit_manipulation,True,11011111,278,6623,True
5374b4ba,bit_manipulation,bit_manipulation,True,10101100,297,6938,True
54b895c1,bit_manipulation,bit_manipulation,True,10111011,259,6624,True
55014a7a,bit_manipulation,bit_manipulation,True,01010000,259,6789,True
5501c054,cryptarithm_guess,equation_transform,False,[#>#,109,724,True
56343b77,equation_numeric_deduce,equation_transform,True,711,128,5540,True
575f9709,bit_manipulation,bit_manipulation,True,01111111,278,6749,True
59bee375,bit_manipulation,bit_manipulation,True,10010101,240,6611,True
5a0d5d2a,equation_numeric_guess,equation_transform,False,341,106,5888,True
5a19f71a,bit_manipulation,bit_manipulation,True,11100010,259,6406,True
5a9fcf68,equation_numeric_guess,equation_transform,False,4443,103,6189,True
5b2523e6,cryptarithm_guess,equation_transform,False,&&,98,614,True
5b9964c7,bit_manipulation,bit_manipulation,True,00011011,240,6279,True
5cbe919f,bit_manipulation,bit_manipulation,True,00000000,240,6295,True
5d77eff6,bit_manipulation,bit_manipulation,True,00011100,297,7385,True
5dffe751,bit_manipulation,bit_manipulation,True,01100000,240,6227,True
5e67b1a1,equation_numeric_deduce,equation_transform,True,63,118,5876,True
64890e18,bit_manipulation,bit_manipulation,True,00001100,259,6486,True
6890870d,bit_manipulation,bit_manipulation,True,01110000,278,6792,True
691608b9,bit_manipulation,bit_manipulation,True,00101000,278,6781,True
69aa57b3,equation_numeric_deduce,equation_transform,True,4472,107,5657,True
6b11c05f,bit_manipulation,bit_manipulation,True,00100010,240,6774,True
6cc5dafb,cryptarithm_guess,equation_transform,False,)(,97,619,True
6f7a9048,bit_manipulation,bit_manipulation,True,00101000,297,7305,True
70bc42af,bit_manipulation,bit_manipulation,True,10101010,278,6773,True
710cf035,bit_manipulation,bit_manipulation,True,10000011,297,6915,True
72336119,equation_numeric_deduce,equation_transform,True,3316,119,5883,True
7306613b,equation_numeric_deduce,equation_transform,True,251,126,6013,True
74fff108,equation_numeric_deduce,equation_transform,True,49,128,5614,True
75ecd32c,bit_manipulation,bit_manipulation,True,11100011,297,6942,True
779bb1f3,bit_manipulation,bit_manipulation,True,10000001,240,6593,True
78616706,bit_manipulation,bit_manipulation,True,00000111,259,6563,True
791056ce,equation_numeric_deduce,equation_transform,True,4922,127,5618,True
7a79ac09,bit_manipulation,bit_manipulation,True,11111111,259,6831,True
7aa4fdf0,bit_manipulation,bit_manipulation,True,00000001,278,6891,True
7ac90433,equation_numeric_deduce,equation_transform,True,-23,104,6139,True
7e5b8c12,bit_manipulation,bit_manipulation,True,10110000,259,6344,True
7ed40e8a,equation_numeric_deduce,equation_transform,True,180,105,5541,True
7ef4d5d6,equation_numeric_deduce,equation_transform,True,>42,118,5939,True
8082a958,bit_manipulation,bit_manipulation,True,00000000,278,6879,True
82109e34,cryptarithm_guess,equation_transform,False,-@>,102,622,True
8243c91e,bit_manipulation,bit_manipulation,True,01000101,278,7060,True
837a6ae7,cryptarithm_guess,equation_transform,False,<>\>,105,726,True
839e7350,bit_manipulation,bit_manipulation,True,00111011,278,6845,True
84030b0b,equation_numeric_deduce,equation_transform,True,24,126,6419,True
85af23eb,bit_manipulation,bit_manipulation,True,00001111,259,6446,True
861cb154,equation_numeric_guess,equation_transform,False,2271,104,5936,True
87007054,bit_manipulation,bit_manipulation,True,10111111,278,6871,True
8740ed31,bit_manipulation,bit_manipulation,True,01101000,240,6318,True
88b43464,equation_numeric_deduce,equation_transform,True,5311,131,5621,True
892d73b5,bit_manipulation,bit_manipulation,True,00010101,278,6743,True
89dfa4c2,bit_manipulation,bit_manipulation,True,00111010,297,7032,True
8abcff0f,bit_manipulation,bit_manipulation,True,11110111,297,7111,True
8ac52d78,bit_manipulation,bit_manipulation,True,00010000,259,6426,True
8bebef83,equation_numeric_deduce,equation_transform,True,3388,118,5881,True
8c0f9291,bit_manipulation,bit_manipulation,True,00001111,278,6976,True
8c1529e1,equation_numeric_deduce,equation_transform,True,-52,107,5623,True
8c9fcc6b,bit_manipulation,bit_manipulation,True,11110111,259,6450,True
8df3daad,equation_numeric_guess,equation_transform,True,34,110,5815,True
8e56a42e,cryptarithm_deduce,equation_transform,True,%/<>,90,496,True
8fbd2477,bit_manipulation,bit_manipulation,True,01011010,278,6746,True
939273d7,bit_manipulation,bit_manipulation,True,11100110,259,6658,True
963e85bb,equation_numeric_deduce,equation_transform,True,76,121,5529,True
9aa8dc92,cryptarithm_deduce,equation_transform,True,/#</,94,508,True
9d3e7f1a,bit_manipulation,bit_manipulation,True,01101010,278,6664,True
9f2fae58,equation_numeric_deduce,equation_transform,True,7272,131,5915,True
a00fe76a,bit_manipulation,bit_manipulation,True,10111011,278,6672,True
a1523a63,equation_numeric_deduce,equation_transform,True,87,106,5621,True
a1d2bb0c,bit_manipulation,bit_manipulation,True,00100010,240,6396,True
a361a1b7,equation_numeric_guess,equation_transform,False,:46,134,6188,True
a365e304,bit_manipulation,bit_manipulation,True,11011011,240,6017,True
a4dd4cce,bit_manipulation,bit_manipulation,True,10110010,259,6485,True
a6f7139f,bit_manipulation,bit_manipulation,True,11000000,259,6772,True
a794d193,bit_manipulation,bit_manipulation,True,01011101,259,6669,True
a8ea0e29,bit_manipulation,bit_manipulation,True,00000000,259,7262,True
ab71eaa0,bit_manipulation,bit_manipulation,True,00010010,259,6457,True
b1bc3731,equation_numeric_deduce,equation_transform,True,63,104,5765,True
b26d8818,equation_numeric_deduce,equation_transform,True,5983,107,5919,True
b2fb65cf,bit_manipulation,bit_manipulation,True,11000011,278,6937,True
b4342b90,equation_numeric_deduce,equation_transform,True,66,128,5809,True
b43d9cd5,bit_manipulation,bit_manipulation,True,11100100,240,6365,True
b62f2e75,bit_manipulation,bit_manipulation,True,00111111,240,6333,True
b69391b8,equation_numeric_deduce,equation_transform,True,66,121,5620,True
ba61b815,bit_manipulation,bit_manipulation,True,00001101,259,6765,True
bc7618a7,bit_manipulation,bit_manipulation,True,00001100,240,6079,True
bc83b0a1,cryptarithm_deduce,equation_transform,True,(/&{,109,735,True
bca238ee,bit_manipulation,bit_manipulation,True,00000000,259,6507,True
bcdf9198,bit_manipulation,bit_manipulation,True,11111111,278,7418,True
bfee75d5,bit_manipulation,bit_manipulation,True,01000010,297,7120,True
c24074a8,cryptarithm_guess,equation_transform,False,&/,109,737,True
c30a782a,bit_manipulation,bit_manipulation,True,01000110,297,7228,True
c541eb82,equation_numeric_deduce,equation_transform,True,-01,114,6371,True
c7077b21,bit_manipulation,bit_manipulation,True,00010110,278,6926,True
c711f9dd,bit_manipulation,bit_manipulation,True,11000000,278,6698,True
c7844441,cryptarithm_guess,equation_transform,True,:/$^,112,730,True
c869b4f6,bit_manipulation,bit_manipulation,True,10010001,278,6674,True
ced947c8,bit_manipulation,bit_manipulation,True,01001011,297,7130,True
d117113e,bit_manipulation,bit_manipulation,True,00000000,259,6615,True
d204b9cc,equation_numeric_deduce,equation_transform,True,231,128,5593,True
d26f22c3,bit_manipulation,bit_manipulation,True,11101100,240,6319,True
d2ac699b,bit_manipulation,bit_manipulation,True,10001011,278,6731,True
d3b20e29,equation_numeric_deduce,equation_transform,True,3922,117,5847,True
d40ce15d,bit_manipulation,bit_manipulation,True,00010000,278,6684,True
d50746e7,bit_manipulation,bit_manipulation,True,01000010,259,6369,True
d6187157,bit_manipulation,bit_manipulation,True,01001000,240,6414,True
d6e5cd59,bit_manipulation,bit_manipulation,True,01101111,278,6837,True
d6e6f8b5,bit_manipulation,bit_manipulation,True,11100001,297,7378,True
dbb611da,bit_manipulation,bit_manipulation,True,00000001,278,6965,True
dbd0e3c9,equation_numeric_deduce,equation_transform,True,5631,131,5822,True
dc7f150a,bit_manipulation,bit_manipulation,True,11001011,240,6202,True
ddc5aefe,bit_manipulation,bit_manipulation,True,00000001,240,6233,True
de91def4,bit_manipulation,bit_manipulation,True,10000111,259,6417,True
dea42835,cryptarithm_deduce,equation_transform,True,['[/,107,724,True
e0eba119,bit_manipulation,bit_manipulation,True,00010010,240,6361,True
e1728524,equation_numeric_guess,equation_transform,False,1089,126,6242,True
e2b02e13,bit_manipulation,bit_manipulation,True,01111110,278,6868,True
e36a0065,bit_manipulation,bit_manipulation,True,01110110,278,6697,True
e4cc7639,equation_numeric_guess,equation_transform,False,113,130,6353,True
e518256e,equation_numeric_deduce,equation_transform,True,84,107,5642,True
e641791f,bit_manipulation,bit_manipulation,True,00010001,259,6412,True
ea6d926a,equation_numeric_guess,equation_transform,False,87,116,5879,True
eb1a62f7,cryptarithm_guess,equation_transform,False,>!>},92,505,True
ed24e7af,bit_manipulation,bit_manipulation,True,00001001,297,7141,True
eea91b82,bit_manipulation,bit_manipulation,True,00101111,297,7378,True
eeb60061,bit_manipulation,bit_manipulation,True,00000101,278,6734,True
efc2b69d,bit_manipulation,bit_manipulation,True,10111100,240,6114,True
f2014638,bit_manipulation,bit_manipulation,True,10011010,278,6627,True
f2b23d11,bit_manipulation,bit_manipulation,True,10000000,259,6242,True
f333b67f,equation_numeric_deduce,equation_transform,True,100,117,5455,True
f3971b9a,bit_manipulation,bit_manipulation,True,00011001,297,7091,True
f8d6abd1,equation_numeric_deduce,equation_transform,True,5543,108,5861,True
f8fc43d2,bit_manipulation,bit_manipulation,True,11100100,259,6558,True
f9799a68,cryptarithm_guess,equation_transform,False,&:/?,106,643,True
fb5a7b9e,bit_manipulation,bit_manipulation,True,11111010,297,7040,True
fd48ee2f,bit_manipulation,bit_manipulation,True,10110100,297,6996,True
fe6d3aa3,bit_manipulation,bit_manipulation,True,10100010,297,6991,True
