id,answer,baseline_prediction,baseline_correct,candidate_prediction,candidate_correct,changed,already_known_v414,status,reason,scope,support_rows,program_count,program_label
e518256e,84,84,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
09d5ee68,!?'!,|:>>,False,,False,False,False,abstain,no_edit_transducer_program,,,,
00457d26,@&,\boxed[[!'},False,,False,False,False,abstain,no_edit_transducer_program,,,,
518deb39,$,{}>{,False,,False,False,False,abstain,no_edit_transducer_program,,,,
82109e34,-@>,'^^^',False,,False,False,False,abstain,no_edit_transducer_program,,,,
5e67b1a1,63,63,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
e1728524,1089,0,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
e3bf0c2c,"""`",@`',False,,False,False,False,abstain,no_edit_transducer_program,,,,
fdbdf50c,"-\""",|?|,False,,False,False,False,abstain,no_edit_transducer_program,,,,
47c1d8f5,]%],/`%`,False,,False,False,False,abstain,no_edit_transducer_program,,,,
f9a33aa1,/((`,@($/,False,,False,False,False,abstain,no_edit_transducer_program,,,,
9f2fae58,7272,7272,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
f9799a68,&:/?,:^?\,False,,False,False,False,abstain,no_edit_transducer_program,,,,
c24074a8,&/,]]]%,False,,False,False,False,abstain,no_edit_transducer_program,,,,
893ffb06,-@',@``:,False,,False,False,False,abstain,no_edit_transducer_program,,,,
cf4c04c0,-[,@|#|,False,,False,False,False,abstain,no_edit_transducer_program,,,,
8e411cc7,]]],$&&,False,,False,False,False,abstain,no_edit_transducer_program,,,,
41e6cbfc,9318,9318,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
dea42835,['[/,['[/,True,,False,False,False,abstain,no_edit_transducer_program,,,,
48c25e0e,53,32,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
7ef4d5d6,>42,>42,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
3ee36e0a,-51,-51,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
39c237c7,{]``,{]``,True,{]``,True,False,False,candidate,unique_edit_transducer,same_operator_examples,2,1,"same_operator_examples|gaps=('', '', '', '', '', '')|actions=0:copy/1:copy/2:del/3:copy/4:copy"
963e85bb,76,76,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
a98d4d53,-),!$$[,False,,False,False,False,abstain,no_edit_transducer_program,,,,
59733f94,/,$/>/,False,,False,False,False,abstain,no_edit_transducer_program,,,,
b1bc3731,63,63,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
a1523a63,87,87,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
3383d4ec,66,66,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
9dae880f,))[,:<`\,False,,False,False,False,abstain,no_edit_transducer_program,,,,
2af7134e,20,20,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
ae6be599,#`,$?]$,False,,False,False,False,abstain,no_edit_transducer_program,,,,
b26d8818,5983,5983,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
8494aad3,"""`#&","])<""",False,,False,False,False,abstain,no_edit_transducer_program,,,,
8df3daad,34,34,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
791056ce,4922,4922,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
3c12aeb9,321,321,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
69aa57b3,4472,4472,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
e3890bf7,{@%],(^@{,False,,False,False,False,abstain,no_edit_transducer_program,,,,
d204b9cc,231,231,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
d29e19a4,?|,|''>,False,,False,False,False,abstain,no_edit_transducer_program,,,,
b06625c4,^&/,"""$ $]""",False,,False,False,False,abstain,no_edit_transducer_program,,,,
84030b0b,24,24,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
52be4988,'!,&&&`,False,,False,False,False,abstain,no_edit_transducer_program,,,,
99d6a3b5,?()<,(<)),False,,False,False,True,abstain,no_edit_transducer_program,,,,
2d3547af,))^),\${,False,,False,False,False,abstain,no_edit_transducer_program,,,,
28b0ff48,'],|^^^,False,,False,False,False,abstain,no_edit_transducer_program,,,,
3fa49035,696,696,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
61557701,|&,'{),False,,False,False,False,abstain,no_edit_transducer_program,,,,
56343b77,711,711,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
7ac90433,-23,-23,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
02902eb3,>/,!!$>,False,,False,False,False,abstain,no_edit_transducer_program,,,,
0d90736f,:,::)[,False,,False,False,False,abstain,no_edit_transducer_program,,,,
294453b5,&(,##!),False,,False,False,False,abstain,no_edit_transducer_program,,,,
386b6d03,671,18,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
57f6878e,%{{,|@(!,False,,False,False,False,abstain,no_edit_transducer_program,,,,
bc83b0a1,(/&{,(/&{,True,(/&{,True,False,False,candidate,unique_edit_transducer,same_operator_examples,3,1,"same_operator_examples|gaps=('', '', '', '', '', '')|actions=0:copy/1:copy/2:del/3:copy/4:copy"
a361a1b7,:46,46,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
d911e8e1,:\:,@}<',False,,False,False,False,abstain,no_edit_transducer_program,,,,
7688e06e,-55,55,False,,False,False,True,abstain,not_punctuation_len5_query,,,,
dbd0e3c9,5631,5631,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
2e2d60b2,07,07,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
5f9f0ed7,}/!},|!@[,False,,False,False,False,abstain,no_edit_transducer_program,,,,
333d93ec,7,7,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
74fff108,49,49,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
c43b5a13,)|,$):$,False,|{,False,True,False,candidate,unique_edit_transducer,same_operator_examples,2,1,"same_operator_examples|gaps=('|', '', '', '', '', '')|actions=0:table($->{,/-><)/1:del/2:del/3:del/4:del"
b0206bb7,]$!,$){,False,,False,False,False,abstain,no_edit_transducer_program,,,,
638f93ca,@,$]<$,False,,False,False,False,abstain,no_edit_transducer_program,,,,
4bfd095a,{<<<,@/[@,False,,False,False,False,abstain,no_edit_transducer_program,,,,
7a422e17,%'!,"#`""",False,,False,False,False,abstain,no_edit_transducer_program,,,,
5b2523e6,&&,><\$,False,,False,False,False,abstain,no_edit_transducer_program,,,,
0fe53bac,"(""",^?(|,False,,False,False,False,abstain,no_edit_transducer_program,,,,
274def88,92,-92,False,,False,False,True,abstain,not_punctuation_len5_query,,,,
03a3437f,-!,'}>/,False,,False,False,False,abstain,no_edit_transducer_program,,,,
30ac5c8e,)#?,@\}?,False,,False,False,False,abstain,no_edit_transducer_program,,,,
08d8d7e1,88,88,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
ff121f08,#<,!%<<,False,,False,False,False,abstain,no_edit_transducer_program,,,,
42cb233d,881,881,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
ec8b4875,"|""]",|@<!,False,,False,False,False,abstain,no_edit_transducer_program,,,,
e3fbc768,'(^),{%??,False,,False,False,False,abstain,no_edit_transducer_program,,,,
6cc5dafb,)(,^&>),False,,False,False,False,abstain,no_edit_transducer_program,,,,
d5a03a2e,>>,""")&&",False,,False,False,False,abstain,no_edit_transducer_program,,,,
8bebef83,3388,3388,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
27cec7a9,3341,3341,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
4aeed935,1455,1455,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
fb623471,-21,21,False,,False,False,True,abstain,not_punctuation_len5_query,,,,
88b43464,5311,5311,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
209c43f0,101,101,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
d129b085,##$,!>``,False,,False,False,False,abstain,no_edit_transducer_program,,,,
e582df31,}@,"""']@",False,,False,False,False,abstain,no_edit_transducer_program,,,,
a77be9fa,"[""",{>$[,False,,False,False,False,abstain,no_edit_transducer_program,,,,
f8d6abd1,5543,5543,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
4ed6b56f,"(""/""",!:`(,False,,False,False,False,abstain,no_edit_transducer_program,,,,
208d7838,[:,[&<>,False,,False,False,False,abstain,no_edit_transducer_program,,,,
58c099d2,-)\,^!#\,False,,False,False,False,abstain,no_edit_transducer_program,,,,
3cb3fd89,[[&],]$$),False,,False,False,False,abstain,no_edit_transducer_program,,,,
a26065d4,<',<&<#,False,,False,False,False,abstain,no_edit_transducer_program,,,,
194695e8,%,!\{<,False,,False,False,False,abstain,no_edit_transducer_program,,,,
528ec0d8,-39,39,False,,False,False,True,abstain,not_punctuation_len5_query,,,,
4bb8c6cd,]}\!,]}\!,True,,False,False,False,abstain,no_edit_transducer_program,,,,
57712d01,-/<,$/'{,False,,False,False,False,abstain,no_edit_transducer_program,,,,
d98d85c0,?(&@,(@@?,False,,False,False,False,abstain,no_edit_transducer_program,,,,
7ed40e8a,180,180,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
491b8ea5,)!,@|]!,False,,False,False,False,abstain,no_edit_transducer_program,,,,
eb1a62f7,>!>},){>),False,,False,False,False,abstain,no_edit_transducer_program,,,,
0bb591e6,%?<,"""$%%""",False,,False,False,False,abstain,no_edit_transducer_program,,,,
3c424916,9351,9351,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
72336119,3316,3316,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
9a19fc2d,#>[,!&)#,False,,False,False,False,abstain,no_edit_transducer_program,,,,
528b694b,"""'",>]],False,,False,False,False,abstain,no_edit_transducer_program,,,,
d3b20e29,3922,3922,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
d1bd7478,30,3,False,,False,False,True,abstain,not_punctuation_len5_query,,,,
21519be7,35,35,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
7306613b,251,251,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
fba40625,'>&,{>?#,False,,False,False,False,abstain,no_edit_transducer_program,,,,
9aa8dc92,/#</,/#</,True,/#</,True,False,False,candidate,unique_edit_transducer,same_operator_examples,2,1,"same_operator_examples|gaps=('', '', '', '', '', '')|actions=0:copy/1:copy/2:del/3:copy/4:copy"
c5b058d6,134,35,False,,False,False,True,abstain,not_punctuation_len5_query,,,,
b4342b90,66,66,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
837a6ae7,<>\>,"<:{""",False,,False,False,False,abstain,no_edit_transducer_program,,,,
d0e1010b,!&&},|&$|,False,,False,False,False,abstain,no_edit_transducer_program,,,,
34c563c5,04`,04`,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
5a0d5d2a,341,55,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
5a9fcf68,4443,4,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
6e56b39a,-/#,&#!,False,,False,False,False,abstain,no_edit_transducer_program,,,,
a5f1991c,/|',!&&&,False,,False,False,False,abstain,no_edit_transducer_program,,,,
c7aae192,">""(","\""]",False,,False,False,False,abstain,no_edit_transducer_program,,,,
e4cc7639,113,16,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
844f826c,"/""",`@>``,False,,False,False,False,abstain,no_edit_transducer_program,,,,
b69391b8,66,66,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
