id,family,answer,current_prediction,current_correct,subtype,query,query_shape,query_operator,query_operator_same_position_seen_count,query_operator_anywhere_seen,example_count,route_hint
09d5ee68,equation_transform,!?'!,|:>>,False,equation_symbolic_punct,|:*>>,PPPPP,*,1,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
00457d26,equation_transform,@&,\boxed[[!'},False,equation_symbolic_punct,[[-!',PPPPP,-,1,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
518deb39,equation_transform,$,{}>{,False,equation_symbolic_punct,$$-<>,PPPPP,-,1,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
82109e34,equation_transform,-@>,'^^^',False,equation_symbolic_punct,'^-^^,PPPPP,-,0,False,4,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
e1728524,equation_transform,1089,0,False,equation_numeric_operator,99/99,DDPDD,/,0,False,5,numeric_query_operator_unseen_in_examples_model_prior_required
e3bf0c2c,equation_transform,"""`",@`',False,equation_symbolic_punct,@`}'',PPPPP,},1,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
fdbdf50c,equation_transform,"-\""",|?|,False,equation_symbolic_punct,|\-?|,PPPPP,-,3,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
47c1d8f5,equation_transform,]%],/`%`,False,equation_symbolic_punct,/`#%`,PPPPP,#,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
f9a33aa1,equation_transform,/((`,@($/,False,equation_symbolic_punct,@(\$/,PPPPP,\,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
f9799a68,equation_transform,&:/?,:^?\,False,equation_symbolic_punct,:^*?\,PPPPP,*,0,False,4,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
c24074a8,equation_transform,&/,]]]%,False,equation_symbolic_punct,]]`]%,PPPPP,`,0,False,5,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
893ffb06,equation_transform,-@',@``:,False,equation_symbolic_punct,@`-`:,PPPPP,-,1,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
cf4c04c0,equation_transform,-[,@|#|,False,equation_symbolic_punct,@|-#|,PPPPP,-,2,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
8e411cc7,equation_transform,]]],$&&,False,equation_symbolic_punct,$&!&},PPPPP,!,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
48c25e0e,equation_transform,53,32,False,equation_numeric_operator,43&11,DDPDD,&,0,False,3,numeric_query_operator_unseen_in_examples_model_prior_required
a98d4d53,equation_transform,-),!$$[,False,equation_symbolic_punct,!$-$[,PPPPP,-,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
59733f94,equation_transform,/,$/>/,False,equation_symbolic_punct,$/->/,PPPPP,-,3,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
9dae880f,equation_transform,))[,:<`\,False,equation_symbolic_punct,:<}`\,PPPPP,},1,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
ae6be599,equation_transform,#`,$?]$,False,equation_symbolic_punct,$?+]$,PPPPP,+,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
8494aad3,equation_transform,"""`#&","])<""",False,equation_symbolic_punct,"])*<""",PPPPP,*,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
e3890bf7,equation_transform,{@%],(^@{,False,equation_symbolic_punct,(^*{@,PPPPP,*,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
d29e19a4,equation_transform,?|,|''>,False,equation_symbolic_punct,|'$>',PPPPP,$,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
