id,family,baseline_prediction,postprocessed_prediction,postprocessor_applied,postprocessor_rule,postprocessor_proof,baseline_correct,postprocessed_correct,gain,loss,wrong_on_baseline_miss
e518256e,equation_transform,84,84,False,operator_not_guarded,"query_op='""'",True,True,False,False,False
09d5ee68,equation_transform,|:>>,|:>>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
7e5b8c12,bit_manipulation,10110000,10110000,False,not_attempted,non-equation row,True,True,False,False,False
00457d26,equation_transform,[[!',[[!',False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
518deb39,equation_transform,{}$>,{}$>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
78616706,bit_manipulation,00000111,00000111,False,not_attempted,non-equation row,True,True,False,False,False
82109e34,equation_transform,'^^^','^^^',False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
5e67b1a1,equation_transform,63,63,False,operator_not_guarded,query_op='{',True,True,False,False,False
c7077b21,bit_manipulation,00010110,00010110,False,not_attempted,non-equation row,True,True,False,False,False
fb5a7b9e,bit_manipulation,11111010,11111010,False,not_attempted,non-equation row,True,True,False,False,False
e1728524,equation_transform,0,0,False,query_operator_unseen,query_op='/' not present in examples,False,False,False,False,False
839e7350,bit_manipulation,00111011,00111011,False,not_attempted,non-equation row,True,True,False,False,False
a365e304,bit_manipulation,11011011,11011011,False,not_attempted,non-equation row,True,True,False,False,False
e3bf0c2c,equation_transform,@`',@`',False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
fdbdf50c,equation_transform,|?|,|?|,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
f3971b9a,bit_manipulation,00011001,00011001,False,not_attempted,non-equation row,True,True,False,False,False
ab71eaa0,bit_manipulation,00010010,00010010,False,not_attempted,non-equation row,True,True,False,False,False
47c1d8f5,equation_transform,/`%`,/`%`,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
bfee75d5,bit_manipulation,01000010,01000010,False,not_attempted,non-equation row,True,True,False,False,False
