dataset,split,role,known_status,rows,sha256,family_counts,source_counts,subcategory_counts,bit_rows,bit_binary_answers,bit_trace_rows,bit_answer_only_rows,equation_rows,equation_trace_rows,assistant_word_p50,duplicate_id_count,duplicate_prompt_answer_count,changed_prompt_overlaps,weak_or_full_training_flags,finding
v390_equation_no_loss_distill,train,equation_only_cpu_signal,blocked_direct_gpu_without_bit_replay,800,d78704157cd6ea55f6340dd5218f45c372dbe72ba227e9fd1e5851430d670793,"{""equation_transform"": 800}","{""v325_equation_no_loss_distill"": 800}","{""equation_numeric_add_direct"": 160, ""equation_numeric_colon_absdiff"": 160, ""equation_numeric_colon_trailing_zero"": 160, ""equation_numeric_minus_direct_negative"": 160, ""equation_numeric_minus_signed"": 160}",0,0,0,0,800,800,52,0,0,0,{},blocks direct GPU: equation-only dataset has no bit guardrail rows
v390_equation_no_loss_distill,validation,equation_only_cpu_signal,blocked_direct_gpu_without_bit_replay,200,bdca7d2b7787e87eb1645ed6cb5b1e8687f1445fa76d58510b768de8eae1b5fa,"{""equation_transform"": 200}","{""v325_equation_no_loss_distill"": 200}","{""equation_numeric_add_direct"": 40, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_colon_trailing_zero"": 40, ""equation_numeric_minus_direct_negative"": 40, ""equation_numeric_minus_signed"": 40}",0,0,0,0,200,200,52,0,0,0,{},blocks direct GPU: equation-only dataset has no bit guardrail rows
v475_equation_bit_replay_mix,train,equation_signal_plus_bit_replay,failed_transfer_in_v495_v496,1312,22aa443a0c7d2f0dea790fe7afcd7249cc4d775e5627671e7dc6377105095aa6,"{""bit_manipulation"": 512, ""equation_transform"": 800}","{""v475_v217_bit_replay_guardrail"": 512, ""v475_v325_equation_no_loss_distill"": 800}","{""bit_guardrail_replay"": 512, ""equation_numeric_add_direct"": 160, ""equation_numeric_colon_absdiff"": 160, ""equation_numeric_colon_trailing_zero"": 160, ""equation_numeric_minus_direct_negative"": 160, ""equation_numeric_minus_signed"": 160}",512,512,0,512,800,800,46,0,0,0,{},already tested: V495/V496 gained equation but lost bit and truncation
v475_equation_bit_replay_mix,validation,equation_signal_plus_bit_replay,failed_transfer_in_v495_v496,328,2a3945ffd7cc795043fdc14ef12d37a044a5a3d304c5a5d1b9c0fa37b89cc0e7,"{""bit_manipulation"": 128, ""equation_transform"": 200}","{""v475_v217_bit_replay_guardrail"": 128, ""v475_v325_equation_no_loss_distill"": 200}","{""bit_guardrail_replay"": 128, ""equation_numeric_add_direct"": 40, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_colon_trailing_zero"": 40, ""equation_numeric_minus_direct_negative"": 40, ""equation_numeric_minus_signed"": 40}",128,128,0,128,200,200,46,0,0,0,{},already tested: V495/V496 gained equation but lost bit and truncation
v510_canonical_active_training_pool,train,canonical_merged_pool,failed_learnability_in_v513_as_bit_answer_only,2627,9033e794bad98679f26bb2fc7f1eb5d4d7f32d06ef6231ee6e0fffc66fc70d3b,"{""bit_manipulation"": 609, ""equation_transform"": 2018}","{""v217_bit_replay_guardrail"": 97, ""v460_v459_numeric_one_rule_micro_dataset"": 18, ""v475_v325_equation_no_loss_distill"": 800, ""v498_bit_replay_guardrail_from_v475"": 512, ""v498_numeric_teacher_trace_pack"": 1200}","{""bit_guardrail_replay"": 609, ""equation_numeric_add_direct"": 160, ""equation_numeric_add_direct_hard_negative"": 400, ""equation_numeric_colon_absdiff"": 160, ""equation_numeric_colon_trailing_zero"": 160, ""equation_numeric_colon_trailing_zero_hard_negative"": 400, ""equation_numeric_minus_direct_negative"": 160, ""equation_numeric_minus_signed"": 160, ""equation_numeric_minus_signed_hard_negative"": 400, ""v274_guarded_numeric_minus_signed_opposite_sign_guarded"": 18}",609,609,0,609,2018,2018,30,0,0,0,{},blocks as-is: bit trace ratio below 80 percent; already tested: V511/V513 showed no transferable bit trace signal as built
v510_canonical_active_training_pool,validation,canonical_merged_pool,failed_learnability_in_v513_as_bit_answer_only,637,062514b8a74ba3656df44ad99667ba63dda69f56d41a20ffb0500f17393ceea8,"{""bit_manipulation"": 133, ""equation_transform"": 504}","{""v217_bit_replay_guardrail"": 5, ""v460_v459_numeric_one_rule_micro_dataset"": 4, ""v475_v325_equation_no_loss_distill"": 200, ""v498_bit_replay_guardrail_from_v475"": 128, ""v498_numeric_teacher_trace_pack"": 300}","{""bit_guardrail_replay"": 133, ""equation_numeric_add_direct"": 40, ""equation_numeric_add_direct_hard_negative"": 100, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_colon_trailing_zero"": 40, ""equation_numeric_colon_trailing_zero_hard_negative"": 100, ""equation_numeric_minus_direct_negative"": 40, ""equation_numeric_minus_signed"": 40, ""equation_numeric_minus_signed_hard_negative"": 100, ""v274_guarded_numeric_minus_signed_opposite_sign_guarded"": 4}",133,133,0,133,504,504,30,0,0,0,{},blocks as-is: bit trace ratio below 80 percent; already tested: V511/V513 showed no transferable bit trace signal as built
v515_v514_fullbyte_residual,train,traceable_bit_plus_equation_pool,failed_transfer_in_v517_v518,2491,145f7b8f6d4ba14efc1255073e73f1c6096aa2267a8cf4d5be63b44cf6dc71d9,"{""bit_manipulation"": 473, ""equation_transform"": 2018}","{""v460_v459_numeric_one_rule_micro_dataset"": 18, ""v475_v325_equation_no_loss_distill"": 800, ""v498_numeric_teacher_trace_pack"": 1200, ""v514_traceable_bit_from_v510"": 466, ""v515_fullbyte_residual_from_v510"": 7}","{""bit_guardrail_replay"": 473, ""equation_numeric_add_direct"": 160, ""equation_numeric_add_direct_hard_negative"": 400, ""equation_numeric_colon_absdiff"": 160, ""equation_numeric_colon_trailing_zero"": 160, ""equation_numeric_colon_trailing_zero_hard_negative"": 400, ""equation_numeric_minus_direct_negative"": 160, ""equation_numeric_minus_signed"": 160, ""equation_numeric_minus_signed_hard_negative"": 400, ""v274_guarded_numeric_minus_signed_opposite_sign_guarded"": 18}",473,473,406,0,2018,2018,31,0,0,0,{},already tested: V517/V518 lower loss still lost protected bit row; risk: unweighted bit share below 25 percent
v515_v514_fullbyte_residual,validation,traceable_bit_plus_equation_pool,failed_transfer_in_v517_v518,620,06bb9f0a7c60b9a2840ea14e0f960439b68813fd0a4bc555d23b4b5b09a42206,"{""bit_manipulation"": 116, ""equation_transform"": 504}","{""v460_v459_numeric_one_rule_micro_dataset"": 4, ""v475_v325_equation_no_loss_distill"": 200, ""v498_numeric_teacher_trace_pack"": 300, ""v514_traceable_bit_from_v510"": 115, ""v515_fullbyte_residual_from_v510"": 1}","{""bit_guardrail_replay"": 116, ""equation_numeric_add_direct"": 40, ""equation_numeric_add_direct_hard_negative"": 100, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_colon_trailing_zero"": 40, ""equation_numeric_colon_trailing_zero_hard_negative"": 100, ""equation_numeric_minus_direct_negative"": 40, ""equation_numeric_minus_signed"": 40, ""equation_numeric_minus_signed_hard_negative"": 100, ""v274_guarded_numeric_minus_signed_opposite_sign_guarded"": 4}",116,116,97,0,504,504,31,0,0,0,{},already tested: V517/V518 lower loss still lost protected bit row; risk: unweighted bit share below 25 percent
v304_solver_trace_distill,train,historical_broad_solver_trace,historical_reference_only_not_current_active_pool,12822,7935ff999cdd8318de67538922de3651170c59baa2664a10beac3334dfcf9082,"{""bit_manipulation"": 4231, ""equation_transform"": 8015, ""gravity_constant"": 144, ""numeral_system"": 144, ""text_encryption"": 144, ""unit_conversion"": 144}","{""v215_replay_anchor"": 859, ""v216_base_clean_safe_strict_bit"": 1796, ""v216_base_clean_safe_strict_equation"": 3200, ""v216_synthetic_kg1_bit_rules"": 646, ""v216_synthetic_kg1_numeric_rules"": 639, ""v216_synthetic_kg1_symbolic_rules"": 3066, ""v282_v274_rule_synthetic"": 1080, ""v304_solver_trace_bit_fullbyte_distill_exact"": 1056, ""v304_solver_trace_bit_fullbyte_distill_random"": 480}","{""bit_fullbyte_safe_ternary"": 360, ""bit_fullbyte_v300_gain_pattern"": 1056, ""bit_manipulation"": 646, ""equation numeric"": 176, ""equation symbolic/mixed"": 3024, ""equation_numeric"": 639, ""equation_numeric_add_direct"": 360, ""equation_numeric_colon_absdiff"": 360, ""equation_numeric_minus_signed"": 360, ""equation_symbolic_binary"": 1574, ""equation_symbolic_unary"": 1492, ""unknown"": 2655}",4231,4231,1536,2695,8015,1081,3,0,0,0,{},no structural blocker found by V521
v304_solver_trace_distill,validation,historical_broad_solver_trace,historical_reference_only_not_current_active_pool,969,2b06224afe035c5085798f4a4be27e764ffaebde3ff7eee11c558c0cd5bdd29d,"{""bit_manipulation"": 332, ""equation_transform"": 573, ""gravity_constant"": 16, ""numeral_system"": 16, ""text_encryption"": 16, ""unit_conversion"": 16}","{""v215_replay_anchor"": 98, ""v216_base_clean_safe_strict_bit"": 80, ""v216_base_clean_safe_strict_equation"": 120, ""v216_synthetic_kg1_bit_rules"": 54, ""v216_synthetic_kg1_numeric_rules"": 61, ""v216_synthetic_kg1_symbolic_rules"": 268, ""v282_v274_rule_synthetic"": 120, ""v304_solver_trace_bit_fullbyte_distill_exact"": 88, ""v304_solver_trace_bit_fullbyte_distill_random"": 80}","{""bit_fullbyte_binary"": 20, ""bit_fullbyte_safe_ternary"": 60, ""bit_fullbyte_v300_gain_pattern"": 88, ""bit_manipulation"": 54, ""equation symbolic/mixed"": 114, ""equation_numeric"": 61, ""equation_numeric_add_direct"": 40, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_minus_signed"": 40, ""equation_symbolic_binary"": 152, ""equation_symbolic_unary"": 116, ""unknown"": 178}",332,332,168,164,573,120,3,0,0,0,{},no structural blocker found by V521
