split,id,line_no,family,subcategory,rule_class,negative_type,chosen_box,rejected_box,answer,adapter_prediction,chosen_tokens,rejected_tokens,chosen_rejected_token_ratio,rejected_much_shorter,chosen_box_matches_answer,rejected_box_matches_adapter_prediction,chosen_box_equals_adapter_prediction,chosen_mentions_adapter_prediction,chosen_mentions_public_train_label_audit,chosen_box_count,rejected_box_count,prompt_sha256,source_id
train,v435e_hard_negative_000b53cf,1,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,01000011,00011111,01000011,00011111,31,26,1.192308,False,True,True,False,True,True,1,1,88200d78056b245780c0f4ac702a17d23c357709ecc204e446cfd4a6f135ae45,000b53cf
train,v435e_hard_negative_00890aff,2,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,01110000,01111100,01110000,01111100,31,26,1.192308,False,True,True,True,True,True,1,1,1a6a9b0e9d57372d7157edddbf530b47aff45a3a6c720e106056b82e04f3fa8f,00890aff
train,v435e_hard_negative_012fb81b,3,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,10000100,01000100,10000100,01000100,31,26,1.192308,False,True,True,False,True,True,1,1,3faa5993afed4a0d9541afb67e89e1a5a3d154d4424d5b62f3397ae8bde4ffe4,012fb81b
train,v435e_hard_negative_0245b9bb,4,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,00001001,00011001,00001001,00011001,31,26,1.192308,False,True,True,False,True,True,1,1,85b3cb0d7e6f5153f9db06c1c12f8bebf25fc4031c1ff4706e1a8b07492cc535,0245b9bb
train,v435e_hard_negative_0311b798,5,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,00000100,00001100,00000100,00001100,31,26,1.192308,False,True,True,False,True,True,1,1,44d9741202864f7ef85c51eef17dfb5fac3ec93a79e04f4db7fa6d406297deb9,0311b798
train,v435e_hard_negative_04d8c3e6,6,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,10000000,00000000,10000000,00000000,31,26,1.192308,False,True,True,False,True,True,1,1,2067535be43365d95a79a23b04c592c82213de0d36caa4273fdc888c5f505e43,04d8c3e6
train,v435e_hard_negative_053f87d3,7,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,11111111,11011111,11111111,11011111,31,26,1.192308,False,True,True,True,True,True,1,1,eb4c835ac18f951c273c000c5f21d3f52896f077048c1e663c330a0a989ae6ee,053f87d3
train,v435e_hard_negative_06881e47,8,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,11111100,01111100,11111100,01111100,31,26,1.192308,False,True,True,False,True,True,1,1,3485d61a52db27ca8f2a3f740a3a7833a53ad79d8dff18741aabbbac6e4506ce,06881e47
train,v435e_hard_negative_06b5da9f,9,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,00011010,00111010,00011010,00111010,31,26,1.192308,False,True,True,False,True,True,1,1,4107fae968b9b53e3b6bb363f02873df4244a254cf7a0a6801f6624d974d2fb2,06b5da9f
train,v435e_hard_negative_07e8cf66,10,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,10010110,10011110,10010110,10011110,31,26,1.192308,False,True,True,True,True,True,1,1,9ff7ff7eb3b7ce0514bae9d2e563c0160f0b78e92a4a2f9f93757326c65c3326,07e8cf66
train,v435e_hard_negative_0b16458a,11,bit_manipulation,bit_adapter_exact_wrong,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,01110000,01100000,01110000,01100000,31,26,1.192308,False,True,True,True,True,True,1,1,573e4885be9938a27ba8f4482e095f86fe0ef83fe8696ef477f7d1d510014a24,0b16458a
train,v435e_hard_negative_00c032a8,12,equation_transform,equation_symbolic_sequence,equation_symbolic_sequence,hard_negative_adapter_exact_wrong,\\^?,))\\ ),\^?,))\ ),35,26,1.346154,False,True,True,False,False,True,1,1,1bf267b98c4e3ce85c258119af7a9c2191417b3f4ae197fa9a00afb12ae49a81,00c032a8
train,v435e_hard_negative_017a871e,13,equation_transform,equation_symbolic_short,equation_symbolic_short,hard_negative_adapter_exact_wrong,\\:,"#!""^",\:,"#!""^",34,26,1.307692,False,True,True,False,True,True,1,1,3ded8aa9e54cde9cd1e0abf78c2625bc28b4d8acdcbed0acf20295e09f729136,017a871e
train,v435e_hard_negative_01b2aa67,14,equation_transform,equation_symbolic_short,equation_symbolic_short,hard_negative_adapter_exact_wrong,+\},|\}@,+},|}@,34,28,1.214286,False,True,True,False,True,True,1,1,04fe6f0dccc41f9e351bc42e817014f7ff98134c1e12574057bba4e53c60bc0c,01b2aa67
train,v435e_hard_negative_01ef1e3e,15,equation_transform,equation_symbolic_sequence,equation_symbolic_sequence,hard_negative_adapter_exact_wrong,[](,''`!,[](,''`!,34,26,1.307692,False,True,True,False,True,True,1,1,dabe5ecf032ed82cba696c60d57051208b0013111b51c5466acb2f026db778df,01ef1e3e
train,v435e_hard_negative_02664ad5,16,equation_transform,equation_symbolic_sequence,equation_symbolic_sequence,hard_negative_adapter_exact_wrong,:\}',!\}(!,:}',!}(!,36,29,1.241379,False,True,True,False,True,True,1,1,e7ce06d0e45a2435aa15f5ac08bf7c893d58064d453870bf02a07cb43fab4f97,02664ad5
train,v435e_hard_negative_02c15453,17,equation_transform,equation_symbolic_short,equation_symbolic_short,hard_negative_adapter_exact_wrong,(,>']',(,>']',34,26,1.307692,False,True,True,False,True,True,1,1,a7e3ab06d8e79567304aa13fd475066302e736be4f31b16f0c48dd9d59c462db,02c15453
train,v435e_hard_negative_02e871e4,18,equation_transform,equation_symbolic_short,equation_symbolic_short,hard_negative_adapter_exact_wrong,$',]\\]#,$',]\]#,35,26,1.346154,False,True,True,False,False,True,1,1,a3a9d082cfe093315bb7dec737114c612c9e6c2ade0f2171b3a2fce47761caed,02e871e4
train,v435e_hard_negative_035c4c40,19,equation_transform,equation_symbolic_short,equation_symbolic_short,hard_negative_adapter_exact_wrong,??,?<'#,??,?<'#,34,26,1.307692,False,True,True,False,True,True,1,1,9cda9f67d7f75908fb079dd80abfab6788191e89eae1cf317004a0633cf00c21,035c4c40
train,v435e_hard_negative_042f1e53,20,equation_transform,equation_symbolic_short,equation_symbolic_short,hard_negative_adapter_exact_wrong,-\},&&&?,-},&&&?,35,26,1.346154,False,True,True,False,True,True,1,1,4587b1a6250d57dfd1d2a60e5bbfede51a814560cb39cf81e6f81f0b3af800b1,042f1e53
train,v435e_hard_negative_0454705a,21,equation_transform,equation_symbolic_sequence,equation_symbolic_sequence,hard_negative_adapter_exact_wrong,%\}|,(\}||,%}|,(}||,36,29,1.241379,False,True,True,False,True,True,1,1,2a878044d9ed510501b1f46253853671b26cbe4776ccacb180b4226f53ed76e1,0454705a
train,v435e_hard_negative_05109055,22,equation_transform,equation_symbolic_sequence,equation_symbolic_sequence,hard_negative_adapter_exact_wrong,`>%/,\\(|/,`>%/,\(|/,35,26,1.346154,False,True,True,False,True,True,1,1,6a14ba12385878e97bb82d2a91d41a2a9701ab358490f82b86509ecd0aa28898,05109055
train,v435e_hard_negative_053f4545,23,equation_transform,equation_numeric_operator_to_number,equation_numeric_operator_to_number,hard_negative_adapter_exact_wrong,731,71,731,71,31,26,1.192308,False,True,True,False,True,True,1,1,ea78a46c49b6f2905211ab037c18e1028b8f168e6f1bf1f7c57a8d39929356a5,053f4545
train,v435e_hard_negative_055a8b01,24,equation_transform,equation_symbolic_short,equation_symbolic_short,hard_negative_adapter_exact_wrong,',///$,',///$,34,26,1.307692,False,True,True,False,True,True,1,1,20bfa5bd488ea9674bbe49b7e3aa02b143f37c9f7c29bf7a09c6c25f3c33540d,055a8b01
train,v435e_hard_negative_06083e68,25,equation_transform,equation_symbolic_sequence,equation_symbolic_sequence,hard_negative_adapter_exact_wrong,:::,>\\!:,:::,>\!:,35,26,1.346154,False,True,True,False,False,True,1,1,1039202b580d05e51e1a7ae945a7eff492caba9e2334dbf19df556ea84998516,06083e68
train,v435e_hard_negative_065f9dea,26,equation_transform,equation_numeric_operator_to_symbolic,equation_numeric_operator_to_symbolic,hard_negative_adapter_exact_wrong,*53,53,*53,53,31,26,1.192308,False,True,True,False,True,True,1,1,da343ead051ec7ccefc61e055bab58d4294f8741c48bfd8f986945567fc32ffd,065f9dea
train,v435e_hard_negative_078df00e,27,equation_transform,equation_numeric_operator_to_number,equation_numeric_operator_to_number,hard_negative_adapter_exact_wrong,1031,54,1031,54,31,26,1.192308,False,True,True,False,True,True,1,1,772e4f70fa14a92a8eda10082627959fe8393c667a2eb144daf6837fed09d809,078df00e
train,v435e_hard_negative_07aef27f,28,equation_transform,equation_numeric_operator_to_number,equation_numeric_operator_to_number,hard_negative_adapter_exact_wrong,-62,62,-62,62,31,26,1.192308,False,True,True,False,True,True,1,1,fc6aa59dafb24279b9503e425e79b53ece29da46252f89cc014b8ac7b6372441,07aef27f
train,v435e_hard_negative_08111d57,29,equation_transform,equation_symbolic_short,equation_symbolic_short,hard_negative_adapter_exact_wrong,")""",^?],")""",^?],33,26,1.269231,False,True,True,False,True,True,1,1,9104a033e5843e12d7d65fc2743c4e784e5a813ac69d7e755e2ee73d58a448cf,08111d57
train,v435e_hard_negative_083ed8fe,30,equation_transform,equation_symbolic_sequence,equation_symbolic_sequence,hard_negative_adapter_exact_wrong,<#):,<&:/,<#):,<&:/,34,26,1.307692,False,True,True,False,True,True,1,1,677c57a521e8b49a6bf7dac12e725b25739d4a1157c9e826d9c5738d1d4188ce,083ed8fe
train,v435e_hard_negative_0a3ee7c7,31,equation_transform,equation_symbolic_sequence,equation_symbolic_sequence,hard_negative_adapter_exact_wrong,\\@)],"\}\\%]""",\@)],"}\%]""",36,32,1.125,False,True,True,False,False,True,1,1,b3a9d68e893376687479a1a3e93b1edc67c3d7fc013578f4c170d231edbca4ad,0a3ee7c7
