id,family,answer,integrated_prediction,baseline_prediction,parse_status,subtype,query,query_shape,example_count,example_preview,route_hint
09d5ee68,equation_transform,!?'!,|:>>,|:>>,ok,equation_symbolic_punct,|:*>>,PPPPP,4,"[[""<:+|&"", ""<:|&""], [""'&+>?"", ""'&>?""], [""$!*!|"", ""!!:&""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
00457d26,equation_transform,@&,\boxed[[!'},\boxed[[!'},ok,equation_symbolic_punct,[[-!',PPPPP,4,"[[""`!*[{"", ""'\""[`""], [""\\'*'>"", ""![@""], [""\\'-!`"", ""\\\\""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
518deb39,equation_transform,$,{}>{,{}>{,ok,equation_symbolic_punct,$$-<>,PPPPP,4,"[[""<'+<\"""", ""(>""], [""\""'-$<"", ""'<""], [""(\""*(<"", ""<<!!""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
82109e34,equation_transform,-@>,'^^^','^^^',ok,equation_symbolic_punct,'^-^^,PPPPP,4,"[[""''+:@"", ""@:>""], [""^\\+?^"", ""@$#""], [""#?+$>"", ""/?""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
e1728524,equation_transform,1089,0,0,ok,equation_numeric_operator,99/99,DDPDD,5,"[[""12&13"", ""01""], [""57:58"", ""161""], [""06&91"", ""14&""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
e3bf0c2c,equation_transform,"""`",@`',@`',ok,equation_symbolic_punct,@`}'',PPPPP,5,"[[""@\"")`["", ""^^`[""], [""/`)@&"", ""\\'\""\""""], [""'')'&"", ""'`&""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
fdbdf50c,equation_transform,"-\""",|?|,|?|,ok,equation_symbolic_punct,|\-?|,PPPPP,5,"[[""%?-)\\"", ""^]""], [""??-??"", ""%""], [""<^}\""|"", ""?<""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
47c1d8f5,equation_transform,]%],/`%`,/`%`,ok,equation_symbolic_punct,/`#%`,PPPPP,4,"[[""{/*@]"", ""{(""], [""@%#]]"", ""]^""], [""]^#]`"", ""{@]""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
f9a33aa1,equation_transform,/((`,@($/,@($/,ok,equation_symbolic_punct,@(\$/,PPPPP,4,"[[""(}\\@@"", ""%(`}""], [""}}'%%"", ""'((""], [""&}\\$`"", ""}#$#""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
f9799a68,equation_transform,&:/?,:^?\,:^?\,ok,equation_symbolic_punct,:^*?\,PPPPP,4,"[[""/&+`&"", ""`&/&""], [""|`+`|"", ""||""], [""?&+[`"", ""[`?&""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
c24074a8,equation_transform,&/,]]]%,]]]%,ok,equation_symbolic_punct,]]`]%,PPPPP,5,"[[""??#(&"", ""#]/""], [""]/#|/"", ""#}<""], [""?|>?]"", ""/()}""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
893ffb06,equation_transform,-@',@``:,@``:,ok,equation_symbolic_punct,@`-`:,PPPPP,4,"[[""))+}:"", ""))}:""], [""{@-'!"", ""-{`""], [""'}+@|"", ""'}@|""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
cf4c04c0,equation_transform,-[,@|#|,@|#|,ok,equation_symbolic_punct,@|-#|,PPPPP,5,"[[""${*#{"", ""'@@{""], [""'{*[["", ""$:/[""], [""{$-[#"", ""|(""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
8e411cc7,equation_transform,]]],$&&,$&&,ok,equation_symbolic_punct,$&!&},PPPPP,4,"[[""^}-]]"", ""(&$""], [""}:#:$"", ""&$""], [""]:!$$"", ""/]""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
48c25e0e,equation_transform,53,32,32,ok,equation_numeric_operator,43&11,DDPDD,3,"[[""82-18"", ""1476""], [""93^50"", ""^43""], [""26-61"", ""1586""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
a98d4d53,equation_transform,-),!$$[,!$$[,ok,equation_symbolic_punct,!$-$[,PPPPP,3,"[[""||*[/"", ""#[|""], ["":)-)$"", ""-[/""], [""$$+[)"", ""$$[)""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
59733f94,equation_transform,/,$/>/,$/>/,ok,equation_symbolic_punct,$/->/,PPPPP,5,"[["">#*{^"", ""{?#$""], [""[?-^#"", ""-#[""], ["":>-/$"", ""-}>""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
9dae880f,equation_transform,))[,:<`\,:<`\,ok,equation_symbolic_punct,:<}`\,PPPPP,5,"[["":'\""`#"", ""<\""""], [""[:>\\["", ""\\)#""], [""`#\""$|"", ""[)""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
ae6be599,equation_transform,#`,$?]$,$?]$,ok,equation_symbolic_punct,$?+]$,PPPPP,3,"[[""$|*?]"", ""$|?]""], [""$$+|#"", ""%%]""], [""%#-\""\\"", ""-%%""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
8494aad3,equation_transform,"""`#&","])<""","])<""",ok,equation_symbolic_punct,"])*<""",PPPPP,4,"[[""\""<*\""#"", ""))^&""], [""\""!+@!"", ""\""!@!""], [""\""^+&\"""", ""\""^&\""""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
e3890bf7,equation_transform,{@%],(^@{,(^@{,ok,equation_symbolic_punct,(^*{@,PPPPP,3,"[[""(^}#%"", ""@$(""], [""?^*#?"", ""^@#^""], [""{(}&?"", ""&{(""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
d29e19a4,equation_transform,?|,|''>,|''>,ok,equation_symbolic_punct,|'$>',PPPPP,4,"[["">&]?\\"", ""]&:""], [""?}$|?"", ""#}:""], [""&}$>}"", ""?\\""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
b06625c4,equation_transform,^&/,"""$ $]""","""$ $]""",ok,equation_symbolic_punct,"""$*$]",PPPPP,4,"[[""\""\""*$\"""", ""<&#""], [""$]-<#"", ""$<""], [""&&+^)"", ""]&""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
52be4988,equation_transform,'!,&&&`,&&&`,ok,equation_symbolic_punct,&&+&`,PPPPP,5,"[[""[&+/`"", ""'!""], [""<\\-<\\"", ""\\""], [""`|-''"", ""-<|""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
2d3547af,equation_transform,))^),\${,\${,ok,equation_symbolic_punct,\$&\\,PPPPP,4,"[[""#}`)$"", ""}\\""], [""$<(>/"", ""(^/""], [""!}&#<"", ""$)^}""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
28b0ff48,equation_transform,'],|^^^,|^^^,ok,equation_symbolic_punct,|^-^^,PPPPP,3,"[[""/'+|#"", ""\""/""], [""(?-('"", ""'""], [""^\""*'#"", ""/]|(""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
61557701,equation_transform,|&,'{),'{),ok,equation_symbolic_punct,'{+{),PPPPP,4,"[[""((+|:"", ""::""], [""$'+&|"", ""((&""], [""'}+'&"", ""):""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
02902eb3,equation_transform,>/,!!$>,!!$>,ok,equation_symbolic_punct,!!+$>,PPPPP,3,"[[""!&*%%"", ""}%>%""], [""%&-/>"", ""$)""], [""$]*&&"", ""}&&}""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
0d90736f,equation_transform,:,::)[,::)[,ok,equation_symbolic_punct,::-)[,PPPPP,5,"[[""[|*|`"", ""\\$()""], [""!|-$)"", "")/""], [""/$+|/"", "":\\""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
294453b5,equation_transform,&(,##!),##!),ok,equation_symbolic_punct,##-!),PPPPP,3,"[[""@!->:"", ""`""], [""&@*:`"", ""&`&(""], [""@!-)!"", ""!`""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
386b6d03,equation_transform,671,18,18,ok,equation_numeric_operator,79'97,DDPDD,3,"[[""47[35"", ""2293""], [""82-68"", ""-85""], [""09[97"", ""0117""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
57f6878e,equation_transform,%{{,|@(!,|@(!,ok,equation_symbolic_punct,|@<:(,PPPPP,5,"[[""/%<@{"", ""%(""], [""$@&^)"", ""/$""], [""{@&|/"", ""@$""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
a361a1b7,equation_transform,:46,46,46,ok,equation_numeric_operator,53:99,DDPDD,5,"[[""90@12"", ""9012""], [""99@42"", ""9942""], [""88<41"", ""3609""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
