ref,score,bit_family,equation_family,bit_ops,equation_ops,solver,training,inference,safety,chars,path
sarabstudentsaidane/soai-rl-vision,1763,0,0,407,16,0,0,0,71,352643,artifacts\v527_kaggle_code_audit\pulled_code\sarabstudentsaidane__soai-rl-vision
camvsfd/notebook-ex-colqwen-layout,1166,0,0,262,22,0,0,2,28,242289,artifacts\v527_kaggle_code_audit\pulled_code\camvsfd__notebook-ex-colqwen-layout
namthi/notebook-methodology-colpali-vidore,1132,0,0,262,13,0,3,3,23,160410,artifacts\v527_kaggle_code_audit\pulled_code\namthi__notebook-methodology-colpali-vidore
pjt222/nemotron-cot-review,1027,23,19,154,49,8,2,0,45,90487,artifacts\v527_kaggle_code_audit\pulled_code\pjt222__nemotron-cot-review
zzys0316/full-pipeline-nvidia-nemotron-3-reasoning,964,12,24,95,62,11,19,50,85,131077,artifacts\v527_kaggle_code_audit\pulled_code\zzys0316__full-pipeline-nvidia-nemotron-3-reasoning
camvsfd/notebook-ex-colpali-layout,912,0,0,218,7,0,0,2,10,246334,artifacts\v527_kaggle_code_audit\pulled_code\camvsfd__notebook-ex-colpali-layout
camvsfd/notebook-methodology-colsmol500-layout,880,0,0,208,7,0,0,2,18,200913,artifacts\v527_kaggle_code_audit\pulled_code\camvsfd__notebook-methodology-colsmol500-layout
kjibinraj/nemotron-challenge-v1,862,20,24,110,11,15,39,59,34,146465,artifacts\v527_kaggle_code_audit\pulled_code\kjibinraj__nemotron-challenge-v1
habanwer/nemotron-atlas,742,4,20,130,10,10,19,2,20,119364,artifacts\v527_kaggle_code_audit\pulled_code\habanwer__nemotron-atlas
konbu17/bit-manipulation-solver-cot-generator,738,34,1,154,0,2,0,2,5,58335,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__bit-manipulation-solver-cot-generator
nguyenducdung1107/notebook-ex-colqwen-layout,665,0,0,152,10,0,1,4,11,118785,artifacts\v527_kaggle_code_audit\pulled_code\nguyenducdung1107__notebook-ex-colqwen-layout
camvsfd/notebook-methodology-doc-colsmol-vidore,646,0,0,151,6,0,0,2,16,96897,artifacts\v527_kaggle_code_audit\pulled_code\camvsfd__notebook-methodology-doc-colsmol-vidore
mbarathmybranz/kaggle-submission,643,20,10,101,22,3,17,2,10,70073,artifacts\v527_kaggle_code_audit\pulled_code\mbarathmybranz__kaggle-submission
namthi/notebook-methodology-colsmol-vidore,638,0,0,149,6,0,0,5,13,94292,artifacts\v527_kaggle_code_audit\pulled_code\namthi__notebook-methodology-colsmol-vidore
kirillklem/full-eda-pca-clusters-question-families-hard,632,0,0,92,0,0,0,8,256,112495,artifacts\v527_kaggle_code_audit\pulled_code\kirillklem__full-eda-pca-clusters-question-families-hard
matthewblakeward/glyphmatics-d4c-cipher-98substitution,616,8,3,110,23,1,7,4,28,84605,artifacts\v527_kaggle_code_audit\pulled_code\matthewblakeward__glyphmatics-d4c-cipher-98substitution
pearpn25/bit-cot-85-1364-sample,614,9,0,137,1,3,0,9,11,76542,artifacts\v527_kaggle_code_audit\pulled_code\pearpn25__bit-cot-85-1364-sample
randomhuster/villm-testing-cv-class,535,0,0,62,17,0,103,7,6,87864,artifacts\v527_kaggle_code_audit\pulled_code\randomhuster__villm-testing-cv-class
cdnghnam/mlproject-xgboost-random-forest,524,0,0,11,34,0,168,4,4,128361,artifacts\v527_kaggle_code_audit\pulled_code\cdnghnam__mlproject-xgboost-random-forest
nguyenducdung1107/notebook-ex-colsmol500layoutrvq,517,0,0,126,1,0,0,1,8,80894,artifacts\v527_kaggle_code_audit\pulled_code\nguyenducdung1107__notebook-ex-colsmol500layoutrvq
cdnghnam/notebook-ex-colpali-layout,506,0,0,112,11,0,0,5,9,91909,artifacts\v527_kaggle_code_audit\pulled_code\cdnghnam__notebook-ex-colpali-layout
nguyenducdung1107/notebook-ex-colqwen-layout-rvq,479,0,0,106,10,0,0,4,11,104962,artifacts\v527_kaggle_code_audit\pulled_code\nguyenducdung1107__notebook-ex-colqwen-layout-rvq
johnnyhyland/nvidia-nemotron-sft-grpo-colab-faster,453,11,8,60,9,10,24,6,16,58499,artifacts\v527_kaggle_code_audit\pulled_code\johnnyhyland__nvidia-nemotron-sft-grpo-colab-faster
nguyenducdung1107/notebook-ex-colpali-layout-riel,448,0,0,97,11,0,3,2,8,98807,artifacts\v527_kaggle_code_audit\pulled_code\nguyenducdung1107__notebook-ex-colpali-layout-riel
matthewblakeward/steinifrank,442,3,4,85,9,0,11,3,20,61073,artifacts\v527_kaggle_code_audit\pulled_code\matthewblakeward__steinifrank
amanatar/nemotron-ultimate-sft-grpo-v3,406,13,11,54,11,7,12,8,7,48034,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__nemotron-ultimate-sft-grpo-v3
llkh0a/nemotron-unsloth-sft-training-3-30-2,406,15,28,29,4,6,18,58,21,81190,artifacts\v527_kaggle_code_audit\pulled_code\llkh0a__nemotron-unsloth-sft-training-3-30-2
ulvisharifzade/nemotron-azerbaijan,390,20,2,57,0,4,31,3,11,43061,artifacts\v527_kaggle_code_audit\pulled_code\ulvisharifzade__nemotron-azerbaijan
itskshivam/nemotron-strict-reasoning-mix-sft-1024,377,0,0,80,2,0,12,5,20,55328,artifacts\v527_kaggle_code_audit\pulled_code\itskshivam__nemotron-strict-reasoning-mix-sft-1024
itskshivam/nemotron-light-competition-adapt-sft,373,0,0,80,2,0,10,5,20,56419,artifacts\v527_kaggle_code_audit\pulled_code\itskshivam__nemotron-light-competition-adapt-sft
sahangunasekara92/fork-of-3d-obj-det-task3-v2,363,0,0,80,0,0,0,0,43,110915,artifacts\v527_kaggle_code_audit\pulled_code\sahangunasekara92__fork-of-3d-obj-det-task3-v2
nguyenducdung1107/colsmol-training-with-rtx6000,362,0,0,64,13,0,3,32,16,90531,artifacts\v527_kaggle_code_audit\pulled_code\nguyenducdung1107__colsmol-training-with-rtx6000
yashm917/nemotronmodel-reasoning-0-72-lb-score-unsloth,348,13,11,60,0,3,8,3,2,23167,artifacts\v527_kaggle_code_audit\pulled_code\yashm917__nemotronmodel-reasoning-0-72-lb-score-unsloth
banwait13/nemotron-on-steroids,329,5,0,45,2,0,32,30,32,92053,artifacts\v527_kaggle_code_audit\pulled_code\banwait13__nemotron-on-steroids
maulikgajera/nemotron-vs-alice-s-wonderland-who-reasons-bett,324,20,10,45,0,6,4,4,12,42530,artifacts\v527_kaggle_code_audit\pulled_code\maulikgajera__nemotron-vs-alice-s-wonderland-who-reasons-bett
kacchanwriting/nemotron-eda-v1,320,9,9,65,1,0,0,0,2,30699,artifacts\v527_kaggle_code_audit\pulled_code\kacchanwriting__nemotron-eda-v1
atharvshete10/notebook7707cd0ec8,314,1,0,34,11,8,24,28,15,44850,artifacts\v527_kaggle_code_audit\pulled_code\atharvshete10__notebook7707cd0ec8
teasue05/tinker-submission-notebook,313,1,2,33,3,3,10,110,15,33735,artifacts\v527_kaggle_code_audit\pulled_code\teasue05__tinker-submission-notebook
cdnghnam/project-i,311,0,0,63,12,0,0,0,11,78150,artifacts\v527_kaggle_code_audit\pulled_code\cdnghnam__project-i
nguyenducdung1107/notebook-ex-colpali-layout-rvq,308,0,0,65,9,0,3,3,3,84271,artifacts\v527_kaggle_code_audit\pulled_code\nguyenducdung1107__notebook-ex-colpali-layout-rvq
meenalsinha/glyphmatics,292,0,0,55,6,0,8,0,32,31438,artifacts\v527_kaggle_code_audit\pulled_code\meenalsinha__glyphmatics
cdnghnam/colsmol-testing-free-train-with-rtx6000,290,0,0,68,2,0,0,2,8,80829,artifacts\v527_kaggle_code_audit\pulled_code\cdnghnam__colsmol-testing-free-train-with-rtx6000
camvsfd/notebook-ex-colsmol500-layout,287,0,0,63,7,0,0,0,7,91474,artifacts\v527_kaggle_code_audit\pulled_code\camvsfd__notebook-ex-colsmol500-layout
varianceofx/synthetic-dataset-generator-27k,287,7,3,64,0,0,0,0,1,21273,artifacts\v527_kaggle_code_audit\pulled_code\varianceofx__synthetic-dataset-generator-27k
mohamedamr992/deterministic-solvers-for-reasoning-task,286,6,1,58,0,6,0,2,1,43154,artifacts\v527_kaggle_code_audit\pulled_code\mohamedamr992__deterministic-solvers-for-reasoning-task
javierrodrguez97/first-easy-approach-3-h,281,7,9,31,9,1,30,2,6,37445,artifacts\v527_kaggle_code_audit\pulled_code\javierrodrguez97__first-easy-approach-3-h
dzung271828/graphcodebert-semeval2026,275,0,0,63,3,0,0,4,7,65238,artifacts\v527_kaggle_code_audit\pulled_code\dzung271828__graphcodebert-semeval2026
namthi/notebook-colsmol-500m-data-enhanced,271,0,0,51,13,0,0,0,15,47770,artifacts\v527_kaggle_code_audit\pulled_code\namthi__notebook-colsmol-500m-data-enhanced
tylerm16/nemotron-sft-lora-with-cot,264,15,9,33,6,1,11,4,5,43203,artifacts\v527_kaggle_code_audit\pulled_code\tylerm16__nemotron-sft-lora-with-cot
tylerm16/nemotron-sft-lora-with-cot-w-no-curriculum,263,8,7,34,10,1,13,3,8,40714,artifacts\v527_kaggle_code_audit\pulled_code\tylerm16__nemotron-sft-lora-with-cot-w-no-curriculum
nikitagajbhiye30/nvidia-00,262,12,9,31,3,12,1,0,1,24885,artifacts\v527_kaggle_code_audit\pulled_code\nikitagajbhiye30__nvidia-00
