id,subtype,rule_class,status,prediction,answer,baseline_prediction,verified_by_weak_label,incorrect_by_weak_label,promotable_after_class_gate,query,example_count,candidate_program_count,unique_prediction_count,proof,candidate_source
09d5ee68,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,!?'!,|:>>,False,False,False,|:*>>,4,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
00457d26,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,@&,[[!',False,False,False,[[-!',4,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
518deb39,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,$,{}$>,False,False,False,$$-<>,4,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
82109e34,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,-@>,'^^^',False,False,False,'^-^^,4,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
e3bf0c2c,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,"""`",@`',False,False,False,@`}'',5,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
fdbdf50c,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,"-\""",|?|,False,False,False,|\-?|,5,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
47c1d8f5,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,]%],/`%`,False,False,False,/`#%`,4,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
f9a33aa1,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,/((`,@($/,False,False,False,@(\$/,4,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
f9799a68,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,&:/?,:^?\,False,False,False,:^*?\,4,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
c24074a8,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,&/,]]]%,False,False,False,]]`]%,5,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
893ffb06,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,-@',@``:,False,False,False,@`-`:,4,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
cf4c04c0,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,-[,@|#|,False,False,False,@|-#|,5,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
8e411cc7,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,]]],$&&,False,False,False,$&!&},4,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
a98d4d53,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,-),!$$[,False,False,False,!$-$[,3,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
59733f94,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,/,$/>/,False,False,False,$/->/,5,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
9dae880f,equation_symbolic_punct,symbolic_cryptarithm_operator_digits,abstain,,))[,:<`\,False,False,False,:<}`\,5,0,0,no_operator_digit_solution,v329_symbolic_cryptarithm_cp_sat
