id,expected,stride_answer,current_answer,stride_correct,current_correct,status,default_bits,vector
00066667,10010111,10010111,10010111,True,True,ok,0,OR-NOT17 NOT2 NOT3 NOT4 NOT5 NOT6 NOT7 C1
000b53cf,01000011,00011111,00000001,False,False,ok,4,AND-NOT21 AND-NOT32 AND-NOT43 default 1 default 1 default 1 default 1 I1
0031df9c,00110100,00110100,00110100,True,True,ok,0,I6 I7 I0 I1 I2 I3 I4 I5
004ef7c7,11111111,11111111,11101110,True,False,ok,2,XOR-NOT13 XOR-NOT24 XOR-NOT35 default 1 default 1 OR-NOT26 OR-NOT37 OR-NOT40
00754598,11101111,11111111,11101111,False,True,ok,3,I3 I4 default 1 default 1 default 1 I3 I4 I5
00890aff,01110000,01111100,01001000,False,False,ok,4,AND61 default 1 default 1 default 1 I2 default 1 AND45 AND56
008b52fd,01100101,01100101,01100101,True,True,ok,0,XOR-NOT71 NOT2 NOT3 NOT4 NOT5 NOT6 OR-NOT07 OR-NOT10
009a74b6,11111011,11111011,11000011,True,False,ok,0,XOR-NOT45 XOR-NOT56 XOR-NOT67 XOR-NOT70 OR-NOT01 OR-NOT12 OR-NOT23 OR-NOT34
00fdc0be,11111111,11111111,11111111,True,True,ok,0,OR72 OR03 OR14 OR25 OR36 OR47 OR50 OR-NOT63
01248b76,11000101,11000101,11000101,True,True,ok,0,XOR14 XOR25 XOR36 XOR47 I5 I6 I7 I0
012fb81b,10000100,10010100,10000001,False,False,ok,0,AND57 AND60 AND71 AND02 C0 AND04 AND15 AND26
016c474c,00000100,00000100,00000100,True,True,ok,1,I2 I3 I4 I5 I6 default 1 I1 I2
01d894fb,11000000,11000000,11000000,True,True,ok,0,AND23 AND34 AND45 AND56 AND67 AND70 AND01 C0
01e09228,10010101,10111001,10000000,False,False,ok,2,AND-NOT42 AND-NOT53 XOR46 default 1 default 1 AND-NOT17 I2 I3
01e395d0,01011101,01011101,01011101,True,True,ok,0,XOR-NOT37 NOT4 NOT5 NOT6 OR-NOT07 OR-NOT10 OR-NOT21 OR-NOT32
0201e198,11110101,11110101,11110101,True,True,ok,0,I3 I4 I5 I6 I7 I0 I1 I2
02021540,11100000,11100000,11100000,True,True,ok,0,I1 I2 XOR03 XOR14 XOR25 XOR36 XOR47 XOR50
021ed764,11111101,11111101,11111101,True,True,ok,1,C1 C1 C1 C1 default 1 NOT7 OR-NOT20 OR-NOT31
0228335b,11011011,11011011,11011011,True,True,ok,0,I6 I7 I0 I1 I2 XOR03 XOR14 XOR25
02324ba1,11101011,11101011,11101011,True,True,ok,0,C1 C1 C1 XOR70 OR-NOT10 OR-NOT21 OR-NOT32 OR-NOT43
024101d9,00100000,00100000,00100000,True,True,ok,0,I1 I2 I3 I4 I5 I6 I7 I0
0245b9bb,00001001,00011001,00000011,False,False,ok,1,XOR-NOT24 XOR-NOT35 XOR-NOT46 default 1 OR-NOT16 OR-NOT27 OR-NOT30 OR-NOT41
025abbbb,00000001,00000001,00000001,True,True,ok,0,I6 I7 C0 C0 C0 C0 C0 I0
02778bd7,00000000,00000000,00000000,True,True,ok,0,AND47 C0 C0 C0 C0 C0 C0 C0
