answer,baseline_correct,baseline_prediction,candidate_correct,id,prediction,proof,reason,same_operator_examples,status
84,True,84,,e518256e,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
!?'!,False,|:>>,,09d5ee68,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
@&,False,\boxed[[!'},,00457d26,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
$,False,{}>{,,518deb39,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
-@>,False,'^^^',,82109e34,,"{""reason"": ""no_same_operator_examples"", ""status"": ""abstain""}",no_same_operator_examples,,abstain
63,True,63,,5e67b1a1,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 2, ""status"": ""abstain""}",no_operator_specific_program,2,abstain
1089,False,0,,e1728524,,"{""reason"": ""no_same_operator_examples"", ""status"": ""abstain""}",no_same_operator_examples,,abstain
"""`",False,@`',,e3bf0c2c,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
"-\""",False,|?|,,fdbdf50c,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 3, ""status"": ""abstain""}",no_operator_specific_program,3,abstain
]%],False,/`%`,,47c1d8f5,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 2, ""status"": ""abstain""}",no_operator_specific_program,2,abstain
/((`,False,@($/,,f9a33aa1,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 2, ""status"": ""abstain""}",no_operator_specific_program,2,abstain
7272,True,7272,,9f2fae58,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 2, ""status"": ""abstain""}",no_operator_specific_program,2,abstain
&:/?,False,:^?\,,f9799a68,,"{""reason"": ""no_same_operator_examples"", ""status"": ""abstain""}",no_same_operator_examples,,abstain
&/,False,]]]%,,c24074a8,,"{""reason"": ""no_same_operator_examples"", ""status"": ""abstain""}",no_same_operator_examples,,abstain
-@',False,@``:,,893ffb06,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
-[,False,@|#|,False,cf4c04c0,@,"{""reason"": ""operator_specific_symbolic_unique_top"", ""same_operator_examples"": 2, ""status"": ""candidate"", ""top_programs"": [""v412_symbolic_transducer:#->,$->,:->,[->(,{->|,|->"", ""v412_symbolic_transducer:#->,$->|,:->,[->(,{->,|->""]}",operator_specific_symbolic_unique_top,2,candidate
]]],False,$&&,,8e411cc7,,"{""reason"": ""ambiguous_operator_specific_top"", ""same_operator_examples"": 2, ""status"": ""abstain"", ""top_predictions"": [""&&"", ""&&]""]}",ambiguous_operator_specific_top,2,abstain
9318,True,9318,True,41e6cbfc,9318,"{""reason"": ""operator_specific_symbolic_unique_top"", ""same_operator_examples"": 3, ""status"": ""candidate"", ""top_programs"": [""v412_symbolic_position_template:end1|end0|end3|end2"", ""v412_symbolic_position_template:end1|end0|end3|start1"", ""v412_symbolic_position_template:end1|end0|start0|end2"", ""v412_symbolic_position_template:end1|end0|start0|start1"", ""v412_symbolic_position_template:end1|start3|end3|end2""]}",operator_specific_symbolic_unique_top,3,candidate
['[/,True,['[/,True,dea42835,['[/,"{""reason"": ""operator_specific_symbolic_unique_top"", ""same_operator_examples"": 3, ""status"": ""candidate"", ""top_programs"": [""v412_symbolic_position_template:end1|end0|end3|end2"", ""v412_symbolic_position_template:end1|end0|end3|start1"", ""v412_symbolic_position_template:end1|end0|start0|end2"", ""v412_symbolic_position_template:end1|end0|start0|start1"", ""v412_symbolic_position_template:end1|start3|end3|end2""]}",operator_specific_symbolic_unique_top,3,candidate
53,False,32,,48c25e0e,,"{""reason"": ""no_same_operator_examples"", ""status"": ""abstain""}",no_same_operator_examples,,abstain
>42,True,>42,,7ef4d5d6,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 2, ""status"": ""abstain""}",no_operator_specific_program,2,abstain
-51,True,-51,,3ee36e0a,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
{]``,True,{]``,True,39c237c7,{]``,"{""reason"": ""operator_specific_symbolic_unique_top"", ""same_operator_examples"": 2, ""status"": ""candidate"", ""top_programs"": [""v412_symbolic_position_template:end3|end2|end1|end0"", ""v412_symbolic_position_template:end3|end2|end1|start3"", ""v412_symbolic_position_template:end3|end2|start2|end0"", ""v412_symbolic_position_template:end3|end2|start2|start3"", ""v412_symbolic_position_template:end3|start1|end1|end0""]}",operator_specific_symbolic_unique_top,2,candidate
76,True,76,,963e85bb,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
-),False,!$$[,,a98d4d53,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
/,False,$/>/,,59733f94,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 3, ""status"": ""abstain""}",no_operator_specific_program,3,abstain
63,True,63,False,b1bc3731,"""523","{""reason"": ""operator_specific_symbolic_unique_top"", ""same_operator_examples"": 2, ""status"": ""candidate"", ""top_programs"": [""v412_symbolic_transducer:0->\"",2->,4->2,7->5,8->8""]}",operator_specific_symbolic_unique_top,2,candidate
87,True,87,,a1523a63,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 2, ""status"": ""abstain""}",no_operator_specific_program,2,abstain
66,True,66,,3383d4ec,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
))[,False,:<`\,,9dae880f,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
20,True,20,,2af7134e,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 3, ""status"": ""abstain""}",no_operator_specific_program,3,abstain
#`,False,$?]$,,ae6be599,,"{""reason"": ""no_operator_specific_program"", ""same_operator_examples"": 1, ""status"": ""abstain""}",no_operator_specific_program,1,abstain
