selector,id,answer,baseline_prediction,baseline_correct,selected_prediction,selected_correct,outcome,candidate_count,source,best_program_family,verifier_valid,verifier_score,canonicalization_status,sympy_parse_success,failure_reason,competition_match_audit_only
critic_v2_only,e518256e,84,84,True,84,True,preserve_correct,2,critic_v2,numeric_abs_diff,True,1.0,,,ok,True
critic_v2_only,09d5ee68,!?'!,|:>>,False,|:,False,still_wrong,87,critic_v2,symbolic_positional_rewrite,True,1.0,,,ok,False
critic_v2_only,00457d26,@&,\boxed[[!'},False,![@,False,still_wrong,89,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,518deb39,$,{,False,'<,False,still_wrong,86,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,82109e34,-@>,'^^^',False,@$#,False,still_wrong,35,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,5e67b1a1,63,63,True,13,False,loss,13,critic_v2,numeric_operator_prefix_absdiff,True,1.0,,,ok,False
critic_v2_only,e1728524,1089,0,False,00,False,still_wrong,3,critic_v2,numeric_other,True,1.0,,,ok,False
critic_v2_only,e3bf0c2c,"""`",@`',False,`[,False,still_wrong,82,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,fdbdf50c,"-\""",|?|,False,^|,False,still_wrong,68,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,47c1d8f5,]%],/`%`,False,]^,False,still_wrong,72,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,f9a33aa1,/((`,@($/,False,'((,False,still_wrong,71,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,9f2fae58,7272,7272,True,75,False,loss,5,critic_v2,numeric_abs_diff,True,1.0,,,ok,False
critic_v2_only,f9799a68,&:/?,:^?\},False,?\:^,False,still_wrong,9,critic_v2,symbolic_positional_rewrite,True,1.0,,,ok,False
critic_v2_only,c24074a8,&/,]]]%,False,#]/,False,still_wrong,23,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,893ffb06,-@',@``:,False,@`,False,still_wrong,82,critic_v2,symbolic_positional_rewrite,True,1.0,,,ok,False
critic_v2_only,cf4c04c0,-[,@|#|,False,(,False,still_wrong,67,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,8e411cc7,]]],$&&,False,&$,False,still_wrong,76,critic_v2,symbolic_other,True,1.0,,,ok,False
critic_v2_only,41e6cbfc,9318,9318,True,9318,True,preserve_correct,2,critic_v2,numeric_positional_rewrite,True,1.0,,,ok,True
critic_v2_only,dea42835,['[/,['[/,True,['[/,True,preserve_correct,7,critic_v2,symbolic_positional_rewrite,True,1.0,,,ok,True
critic_v2_only,48c25e0e,53,32,False,473,False,still_wrong,3,critic_v2,numeric_mul,True,1.0,,,ok,False
critic_v2_only,7ef4d5d6,>42,>42,True,6,False,loss,3,critic_v2,numeric_other,True,1.0,,,ok,False
