rule_class,rows,candidate_rows,verified_candidates,incorrect_candidates,abstain_rows,promotable_after_class_gate
v274_guarded_numeric_minus_signed_opposite_sign_guarded,2,2,2,0,0,True
v299_same_operator_unique_numeric_dsl,16,1,1,0,15,True
v274_guarded_numeric_colon_absdiff_unreverse_same_len,1,1,1,0,0,True
v274_guarded_numeric_add_direct_over_model_add_variant,1,1,1,0,0,True
v299_conventional_operator_prior_unique,16,0,0,0,16,False
v299_all_numeric_examples_unique_dsl,16,0,0,0,16,False
v274_guarded_numeric_query_operator_unseen,11,0,0,0,11,False
v274_guarded_numeric_not_numeric_query,83,0,0,0,83,False
v274_guarded_numeric_minus_signed_ambiguous,1,0,0,0,1,False
symbolic_variable_operator_right_reverse_left,83,0,0,0,83,False
symbolic_variable_operator_right_only,83,0,0,0,83,False
symbolic_variable_operator_right_left,83,0,0,0,83,False
symbolic_variable_operator_reverse_right_left,83,0,0,0,83,False
symbolic_variable_operator_reverse_left_right,83,0,0,0,83,False
symbolic_variable_operator_reverse_drop_operator,83,0,0,0,83,False
symbolic_variable_operator_operator_between_reversed,83,0,0,0,83,False
symbolic_variable_operator_left_reverse_right,83,0,0,0,83,False
symbolic_variable_operator_left_only,83,0,0,0,83,False
symbolic_variable_operator_drop_operator,83,0,0,0,83,False
symbolic_suffix_after_marker,83,0,0,0,83,False
symbolic_suffix_after_last_marker,83,0,0,0,83,False
symbolic_remove_first_marker,83,0,0,0,83,False
symbolic_prefix_until_marker,83,0,0,0,83,False
symbolic_prefix_before_last_marker,83,0,0,0,83,False
symbolic_keep_selected_chars,83,0,0,0,83,False
symbolic_char_transducer,83,0,0,0,83,False
numeric_same_operator_extended,16,0,0,0,16,False
symbolic_position_template,83,1,0,1,82,False
symbolic_operator_index_template,83,1,0,1,82,False
symbolic_delete_selected_chars,83,1,0,1,82,False
