id,answer,weak_type,baseline_correct,baseline_prediction,rule,reasoning_len,prompt_len
048cc279,01010000,bit_manipulation,False,01111000,"MAJ(ROT(1), SHL(3), SHR(2))",1319,468
1a7c8520,01100000,bit_manipulation,False,01100110,"MAJ(ROT(2), SHL(1), SHR(5))",1189,447
1abaffca,01000000,bit_manipulation,False,01011000,"CHO(SHL(2), SHR(3), ROT(1))",1189,447
5ba26f21,01011100,bit_manipulation,False,01111110,"CHO(SHL(1), SHR(1), ROT(4))",1319,468
7192535b,00000010,bit_manipulation,False,00001010,"MAJ(ROT(5), SHL(1), SHR(4))",1449,489
8740ed31,01101000,bit_manipulation,True,01101000,"MAJ(ROT(7), SHL(3), SHR(3))",1189,447
a6192d29,00001000,bit_manipulation,False,01111110,"MAJ(ROT(6), SHL(1), SHR(1))",1579,510
b8722d19,00100100,bit_manipulation,False,11110100,"CHO(SHL(2), SHR(1), ROT(3))",1189,447
b8aa3072,00000011,bit_manipulation,False,00000111,"CHO(SHL(2), SHR(4), ROT(7))",1189,447
d6187157,01001000,bit_manipulation,True,01001000,"MAJ(ROT(1), SHL(3), SHR(4))",1189,447
