id,subtype,answer,baseline_prediction,query,examples_count,cluster_key,priority_reason,v324_prediction,v324_rule_class,v324_candidate_source,v324_correct,v496_prediction,v496_correct,v496_changed,transfer_status,next_action
09d5ee68,equation_symbolic_punct,!?'!,|:>>,|:*>>,4,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
00457d26,equation_symbolic_punct,@&,\boxed[[!'},[[-!',4,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
518deb39,equation_symbolic_punct,$,{}>{,$$-<>,4,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=0|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query,,,,False,$,True,True,v496_unique_equation_gain,mine_prompt_pattern_but_do_not_train_from_weak_label
82109e34,equation_symbolic_punct,-@>,'^^^','^-^^,4,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
e1728524,equation_numeric_operator,1089,0,99/99,5,equation_numeric_operator|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
e3bf0c2c,equation_symbolic_punct,"""`",@`',@`}'',5,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
fdbdf50c,equation_symbolic_punct,"-\""",|?|,|\-?|,5,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,|\(?|,False,True,changed_but_still_wrong,inspect_symbolic_format_regression
47c1d8f5,equation_symbolic_punct,]%],/`%`,/`#%`,4,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
f9a33aa1,equation_symbolic_punct,/((`,@($/,@(\$/,4,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
f9799a68,equation_symbolic_punct,&:/?,:^?\,:^*?\,4,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,:^?\},False,True,changed_but_still_wrong,inspect_symbolic_format_regression
c24074a8,equation_symbolic_punct,&/,]]]%,]]`]%,5,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
893ffb06,equation_symbolic_punct,-@',@``:,@`-`:,4,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
cf4c04c0,equation_symbolic_punct,-[,@|#|,@|-#|,5,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
8e411cc7,equation_symbolic_punct,]]],$&&,$&!&},4,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
48c25e0e,equation_numeric_operator,53,32,43&11,3,equation_numeric_operator|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,numeric_operator_residual|answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
a98d4d53,equation_symbolic_punct,-),!$$[,!$-$[,3,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
59733f94,equation_symbolic_punct,/,$/>/,$/->/,5,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query|answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
9dae880f,equation_symbolic_punct,))[,:<`\,:<}`\,5,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,:<`\},False,True,changed_but_still_wrong,inspect_symbolic_format_regression
ae6be599,equation_symbolic_punct,#`,$?]$,$?+]$,3,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
8494aad3,equation_symbolic_punct,"""`#&","])<""","])*<""",4,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
e3890bf7,equation_symbolic_punct,{@%],(^@{,(^*{@,3,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
d29e19a4,equation_symbolic_punct,?|,|''>,|'$>',4,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
b06625c4,equation_symbolic_punct,^&/,"""$ $]""","""$*$]",4,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,"""$$]""",False,True,changed_but_still_wrong,inspect_symbolic_format_regression
52be4988,equation_symbolic_punct,'!,&&&`,&&+&`,5,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
99d6a3b5,equation_symbolic_punct,?()<,(<)),(<%)),4,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
2d3547af,equation_symbolic_punct,))^),\${,\$&\\,4,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
28b0ff48,equation_symbolic_punct,'],|^^^,|^-^^,3,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
61557701,equation_symbolic_punct,|&,'{),'{+{),4,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
02902eb3,equation_symbolic_punct,>/,!!$>,!!+$>,3,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
0d90736f,equation_symbolic_punct,:,::)[,::-)[,5,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query|answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
294453b5,equation_symbolic_punct,&(,##!),##-!),3,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs,,,,False,,False,False,unresolved_equation_miss,cluster_for_new_cpu_solver_only
