ref,title,score,bit_family,equation_family,bit_ops,equation_ops,solver,training,inference,safety,chars,path
pjt222/nemotron-cot-review,nemotron-cot-review,1027,23,19,154,49,8,2,0,45,90487,artifacts\v527_kaggle_code_audit\pulled_code\pjt222__nemotron-cot-review
zzys0316/full-pipeline-nvidia-nemotron-3-reasoning,🏆 Full Pipeline NVIDIA Nemotron-3 Reasoning,964,12,24,95,62,11,19,50,85,131077,artifacts\v527_kaggle_code_audit\pulled_code\zzys0316__full-pipeline-nvidia-nemotron-3-reasoning
kjibinraj/nemotron-challenge-v1,Nemotron_challenge_v1,862,20,24,110,11,15,39,59,34,146465,artifacts\v527_kaggle_code_audit\pulled_code\kjibinraj__nemotron-challenge-v1
habanwer/nemotron-atlas,Nemotron ATLAS,742,4,20,130,10,10,19,2,20,119364,artifacts\v527_kaggle_code_audit\pulled_code\habanwer__nemotron-atlas
konbu17/bit-manipulation-solver-cot-generator,bit-manipulation-solver-cot-generator,738,34,1,154,0,2,0,2,5,58335,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__bit-manipulation-solver-cot-generator
matthewblakeward/glyphmatics-d4c-cipher-98substitution,GlyphMatics●D4C°Cipher#98Substitution ,616,8,3,110,23,1,7,4,28,84605,artifacts\v527_kaggle_code_audit\pulled_code\matthewblakeward__glyphmatics-d4c-cipher-98substitution
pearpn25/bit-cot-85-1364-sample,bit cot 85% ~~ 1364 sample,614,9,0,137,1,3,0,9,11,76542,artifacts\v527_kaggle_code_audit\pulled_code\pearpn25__bit-cot-85-1364-sample
johnnyhyland/nvidia-nemotron-sft-grpo-colab-faster,NVIDIA Nemotron - SFT → GRPO - Colab faster,453,11,8,60,9,10,24,6,16,58499,artifacts\v527_kaggle_code_audit\pulled_code\johnnyhyland__nvidia-nemotron-sft-grpo-colab-faster
amanatar/nemotron-ultimate-sft-grpo-v3,nemotron-ultimate-sft-grpo-v3,406,13,11,54,11,7,12,8,7,48034,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__nemotron-ultimate-sft-grpo-v3
llkh0a/nemotron-unsloth-sft-training-3-30-2,Nemotron | Unsloth SFT Training 3/30 -2,406,15,28,29,4,6,18,58,21,81190,artifacts\v527_kaggle_code_audit\pulled_code\llkh0a__nemotron-unsloth-sft-training-3-30-2
