path,column,strategy,rows,correct,equation_transform_correct,bit_manipulation_correct,delta_total,delta_equation,delta_bit,gains_vs_baseline,losses_vs_baseline,gain_ids,loss_ids
artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,prediction,first_line,315,192,56,136,0,0,0,0,0,,
artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,prediction,last_line,315,192,56,136,0,0,0,0,0,,
artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,raw_output,first_boxed,315,192,56,136,0,0,0,0,0,,
artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,raw_output,official_last_boxed,315,192,56,136,0,0,0,0,0,,
artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,prediction,first_line,315,191,56,135,-1,0,-1,0,1,,8740ed31
artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,prediction,last_line,315,191,56,135,-1,0,-1,0,1,,8740ed31
artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,raw_output,first_boxed,315,191,56,135,-1,0,-1,0,1,,8740ed31
artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,raw_output,official_last_boxed,315,191,56,135,-1,0,-1,0,1,,8740ed31
artifacts\v352_hf_a100_v351_bit_transfer_launch\eval_v352_checkpoint2\predictions.csv,prediction,first_line,315,191,56,135,-1,0,-1,0,1,,8740ed31
artifacts\v352_hf_a100_v351_bit_transfer_launch\eval_v352_checkpoint2\predictions.csv,prediction,last_line,315,191,56,135,-1,0,-1,0,1,,8740ed31
artifacts\v352_hf_a100_v351_bit_transfer_launch\eval_v352_checkpoint2\predictions.csv,raw_output,first_boxed,315,191,56,135,-1,0,-1,0,1,,8740ed31
artifacts\v352_hf_a100_v351_bit_transfer_launch\eval_v352_checkpoint2\predictions.csv,raw_output,official_last_boxed,315,191,56,135,-1,0,-1,0,1,,8740ed31
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,prediction,first_line,315,191,56,135,-1,0,-1,1,2,4ef88f92,59bee375;8740ed31
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,prediction,last_line,315,191,56,135,-1,0,-1,1,2,4ef88f92,59bee375;8740ed31
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,raw_output,first_boxed,315,191,56,135,-1,0,-1,1,2,4ef88f92,59bee375;8740ed31
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,raw_output,official_last_boxed,315,191,56,135,-1,0,-1,1,2,4ef88f92,59bee375;8740ed31
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\raw_predictions_pre_score.csv,prediction,first_line,315,191,56,135,-1,0,-1,1,2,4ef88f92,59bee375;8740ed31
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\raw_predictions_pre_score.csv,prediction,last_line,315,191,56,135,-1,0,-1,1,2,4ef88f92,59bee375;8740ed31
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\raw_predictions_pre_score.csv,raw_output,first_boxed,315,191,56,135,-1,0,-1,1,2,4ef88f92,59bee375;8740ed31
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\raw_predictions_pre_score.csv,raw_output,official_last_boxed,315,191,56,135,-1,0,-1,1,2,4ef88f92,59bee375;8740ed31
artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,prediction,first_line,315,190,56,134,-2,0,-2,0,2,,59bee375;8740ed31
artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,prediction,last_line,315,190,56,134,-2,0,-2,0,2,,59bee375;8740ed31
artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,raw_output,first_boxed,315,190,56,134,-2,0,-2,0,2,,59bee375;8740ed31
artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,raw_output,official_last_boxed,315,190,56,134,-2,0,-2,0,2,,59bee375;8740ed31
