id,answer,solver_answer,official_answer,metric_correct,solver_type,solver_category,conditioned_on_answer,solver_mode,solver_ops,solver_mapping
00457d26,@&,@&,@&,True,arithmetic,arithmetic,True,standard,"{""*"": ""mul_p1"", ""-"": ""absdiff""}","{""!"": 6, ""\"""": 7, ""&"": 8, ""'"": 2, "">"": 0, ""@"": 1, ""["": 4, ""\\"": 3, ""`"": 5, ""{"": 9}"
02902eb3,>/,>/,>/,True,arithmetic,arithmetic,True,standard,"{""*"": ""mul"", ""-"": ""absdiff"", ""+"": ""add_m1""}","{""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}"
03a3437f,-!,-!,-!,True,arithmetic,mixed_concat,True,standard,"{""-"": ""sub_signed"", ""+"": ""concat_fwd""}","{""!"": 8, ""'"": 2, ""/"": 3, "":"": 4, "">"": 7, ""`"": 6, ""|"": 1, ""}"": 9}"
09d5ee68,!?'!,!?'!,!?'!,True,arithmetic,mixed_concat,True,standard,"{""-"": ""sub_signed"", ""+"": ""concat_fwd"", ""*"": ""mul_m1""}","{""!"": 1, ""$"": 9, ""&"": 2, ""'"": 7, "":"": 8, ""<"": 0, "">"": 4, ""?"": 6, ""|"": 3}"
0bb591e6,%?<,%?<,%?<,True,arithmetic,little_endian,True,little_endian,"{""-"": ""absdiff"", ""+"": ""add""}","{""\"""": 0, ""$"": 7, ""%"": 4, ""&"": 6, ""("": 5, "")"": 2, ""<"": 1, ""?"": 3}"
0d90736f,:,,:,False,,,False,,,
0e009c6d,`?\!,`?\!,`?\!,True,arithmetic,little_endian,True,little_endian,"{""'"": ""mul"", ""*"": ""absdiff""}","{""!"": 3, ""#"": 0, ""%"": 8, "")"": 4, ""/"": 7, "">"": 2, ""?"": 6, ""@"": 1, ""\\"": 9, ""`"": 5}"
0fe53bac,"(""","(""","(""",True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""+"": ""add""}","{""!"": 3, ""\"""": 7, ""("": 8, "")"": 6, "":"": 9, ""?"": 2, ""@"": 1, ""^"": 0, ""|"": 5, ""}"": 4}"
194695e8,%,,%,False,,,False,,,
208d7838,[:,[:,[:,True,arithmetic,little_endian,True,little_endian,"{""+"": ""add"", ""*"": ""mul_m1"", ""-"": ""absdiff""}","{""#"": 9, ""$"": 1, ""%"": 7, ""&"": 8, "":"": 2, ""<"": 0, "">"": 6, ""["": 5, ""{"": 4, ""}"": 3}"
26e48e98,){|,){|,){|,True,arithmetic,little_endian,True,little_endian,"{"")"": ""sub_signed"", ""`"": ""mul"", ""/"": ""add""}","{""\"""": 3, ""#"": 4, ""%"": 1, ""("": 7, ""<"": 9, ""@"": 6, ""]"": 2, ""{"": 8, ""|"": 5}"
28b0ff48,'],'],'],True,arithmetic,arithmetic,True,standard,"{""-"": ""absdiff"", ""+"": ""add_m1"", ""*"": ""mul_p1""}","{""\"""": 7, ""#"": 9, ""'"": 3, ""("": 4, ""/"": 1, ""?"": 6, ""]"": 0, ""^"": 2, ""|"": 5}"
294453b5,&(,&(,&(,True,arithmetic,arithmetic,True,standard,"{""-"": ""mod"", ""*"": ""mul_m1""}","{""!"": 2, ""#"": 4, ""&"": 1, ""("": 9, "")"": 5, "":"": 6, "">"": 3, ""@"": 7, ""`"": 0}"
2d3547af,))^),))^),))^),True,arithmetic,arithmetic,True,standard,"{""("": ""sub_signed"", ""`"": ""add"", ""&"": ""mul_m1""}","{""!"": 5, ""#"": 7, ""$"": 4, "")"": 1, ""/"": 8, ""<"": 0, "">"": 6, ""\\"": 3, ""^"": 2, ""}"": 9}"
30ac5c8e,)#?,)#?,)#?,True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul"", ""+"": ""add_p1""}","{""\"""": 7, ""#"": 0, ""&"": 4, "")"": 6, ""/"": 5, "":"": 8, ""?"": 1, ""@"": 3, ""\\"": 9, ""}"": 2}"
3cb3fd89,[[&],[[&],[[&],True,arithmetic,arithmetic,True,standard,"{""-"": ""sub_signed"", ""*"": ""mul"", ""+"": ""add_p1""}","{""!"": 9, ""$"": 8, ""&"": 7, "")"": 2, ""@"": 3, ""["": 5, ""\\"": 4, ""]"": 6, ""{"": 0, ""|"": 1}"
432b1110,%[:?,%[:?,%[:?,True,arithmetic,mixed_concat,True,standard,"{""+"": ""concat_fwd"", ""*"": ""lcm""}","{""%"": 0, ""/"": 1, "":"": 7, ""<"": 3, ""?"": 2, ""@"": 9, ""["": 6, ""\\"": 8, ""]"": 5, ""{"": 4}"
47c1d8f5,]%],]%],]%],True,arithmetic,little_endian,True,little_endian,"{""*"": ""sub_signed"", ""#"": ""add""}","{""%"": 3, ""("": 7, ""/"": 8, "">"": 5, ""@"": 0, ""]"": 1, ""^"": 4, ""`"": 6, ""{"": 2, ""}"": 9}"
491b8ea5,)!,)!,)!,True,arithmetic,mixed_concat,True,standard,"{""-"": ""absdiff"", ""+"": ""absdiff"", ""*"": ""concat_fwd""}","{""!"": 1, "")"": 4, ""/"": 0, ""@"": 7, ""]"": 3, ""^"": 6, ""{"": 5, ""|"": 2, ""}"": 8}"
4bfd095a,{<<<,{<<<,{<<<,True,arithmetic,arithmetic,True,standard,"{""-"": ""rsub_signed"", ""*"": ""mul_p1""}","{""\"""": 5, ""%"": 0, "")"": 6, ""/"": 4, ""<"": 9, ""@"": 7, ""["": 2, ""\\"": 3, ""^"": 8, ""{"": 1}"
