id,subtype,answer,current_prediction,query,examples_count,query_len,answer_len,prediction_len,query_charset,answer_charset,query_symbols,example_input_symbols,example_output_symbols,query_symbols_seen_in_example_inputs,answer_chars_subset_query,answer_chars_subset_example_outputs,answer_is_subsequence_of_query,answer_is_substring_of_query,answer_reverse_is_substring_of_query,edit_distance_query_answer,v324_candidate_rows,v324_incorrect_candidates,v324_abstain_rows,cluster_key,priority_reason
09d5ee68,equation_symbolic_punct,!?'!,|:>>,|:*>>,4,5,4,4,*:>|,!'?,*:>|,!$&'*+-:<>?|,!$&'-:<>?|,True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
00457d26,equation_symbolic_punct,@&,\boxed[[!'},[[-!',4,5,2,11,!'-[,&@,!'-[,!&'*->[\`{,"!""'@[\`{",True,False,False,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
518deb39,equation_symbolic_punct,$,{}>{,$$-<>,4,5,1,4,$-<>,$,$-<>,"!""$'(*+-<>",!'(<>\^,True,True,False,True,True,True,4,0,0,21,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=0|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query
82109e34,equation_symbolic_punct,-@>,'^^^','^-^^,4,5,3,5,'-^,->@,'-^,#$'*+:>?@\^,#$/:>?@,False,False,False,False,False,False,4,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
e1728524,equation_numeric_operator,1089,0,99/99,5,5,4,1,/9,0189,/,&:,&,False,False,False,False,False,False,4,0,0,5,equation_numeric_operator|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,numeric_operator_residual
e3bf0c2c,equation_symbolic_punct,"""`",@`',@`}'',5,5,2,3,'@`},"""`",'@`},"""&'()/@[\`}","""&'@[\^`",True,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
fdbdf50c,equation_symbolic_punct,"-\""",|?|,|\-?|,5,5,3,3,-?\|,"""-\",-?\|,"""%'()-<?\]^|}","""%'<?]^|",True,False,False,False,False,False,4,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
47c1d8f5,equation_symbolic_punct,]%],/`%`,/`#%`,4,5,3,4,#%/`,%],#%/`,#%(*/>@]^`{},(*@]^{},True,False,False,False,False,False,4,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
f9a33aa1,equation_symbolic_punct,/((`,@($/,@(\$/,4,5,4,4,$(/@\,(/`,$(/@\,$%&'(/@\`},#$%'(/`},True,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
f9799a68,equation_symbolic_punct,&:/?,:^?\,:^*?\,4,5,4,4,*:?\^,&/:?,*:?\^,$&+-/?[`|,&/?[`|,False,False,False,False,False,False,4,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
c24074a8,equation_symbolic_punct,&/,]]]%,]]`]%,5,5,2,4,%]`,&/,%]`,#&()/<>?]|},#%&()/<?]|},False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
893ffb06,equation_symbolic_punct,-@',@``:,@`-`:,4,5,3,4,-:@`,'-@,-:@`,!')*+-:@{|},')-:@`{|},False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
cf4c04c0,equation_symbolic_punct,-[,@|#|,@|-#|,5,5,2,4,#-@|,-[,#-@|,#$'(*-:[{|,$'(/:@[{|,False,False,False,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
8e411cc7,equation_symbolic_punct,]]],$&&,$&!&},4,5,3,3,!$&},],!$&},"!""#$(-:]^}",$&(/<],False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
48c25e0e,equation_numeric_operator,53,32,43&11,3,5,2,2,&134,35,&,-^,^,False,False,True,False,False,False,4,0,0,5,equation_numeric_operator|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,numeric_operator_residual|answer_chars_seen_in_outputs
a98d4d53,equation_symbolic_punct,-),!$$[,!$-$[,3,5,2,4,!$-[,)-,!$-[,$)*+-/:[|,#$)-/[|,False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
59733f94,equation_symbolic_punct,/,$/>/,$/->/,5,5,1,4,$-/>,/,$-/>,#$*-/:>?[^{,#$-/>?[{},True,True,True,True,True,True,4,0,0,21,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query|answer_chars_seen_in_outputs
9dae880f,equation_symbolic_punct,))[,:<`\,:<}`\,5,5,3,4,:<\`},)[,:<\`},"""#$':>[\`|}","""#):<[\",False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
ae6be599,equation_symbolic_punct,#`,$?]$,$?+]$,3,5,2,4,$+?],#`,$+?],"""#$%*+-?\]|",$%-?]|,True,False,False,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
8494aad3,equation_symbolic_punct,"""`#&","])<""","])*<""",4,5,4,4,""")*<]","""#&`",""")*<]","!""#&*+<@^","!""&)@^`",False,False,False,False,False,False,5,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
e3890bf7,equation_symbolic_punct,{@%],(^@{,(^*{@,3,5,4,4,(*@^{,%@]{,(*@^{,#%&(*?^{},#$&(@^{,False,False,False,False,False,False,5,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
d29e19a4,equation_symbolic_punct,?|,|''>,|'$>',4,5,2,4,$'>|,?|,$'>|,$&+>?\]|},#&:?\]^|},False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
b06625c4,equation_symbolic_punct,^&/,"""$ $]""","""$*$]",4,5,3,6,"""$*]",&/^,"""$*]","""#$&)*+-/<]^",#$&<],True,False,False,False,False,False,5,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
52be4988,equation_symbolic_punct,'!,&&&`,&&+&`,5,5,2,4,&+`,!',&+`,&'*+-/<?[\`|,!&'-/<\`|,True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
99d6a3b5,equation_symbolic_punct,?()<,(<)),(<%)),4,5,4,4,%()<,()<?,%()<,!#%)<?[`,!#()<?[^`{,False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
2d3547af,equation_symbolic_punct,))^),\${,\$&\\,4,5,4,3,$&\,)^,$&\,!#$&()/<>\`},$()/<\^},True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
28b0ff48,equation_symbolic_punct,'],|^^^,|^-^^,3,5,2,4,-^|,'],-^|,"""#'(*+-/?^|","""'(/]|",True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
61557701,equation_symbolic_punct,|&,'{),'{+{),4,5,2,3,')+{,&|,')+{,$&'(+-:{|},"""&'()-:",False,False,False,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
02902eb3,equation_symbolic_punct,>/,!!$>,!!+$>,3,5,2,4,!$+>,/>,!$+>,!$%&*-/>],$%&)>},False,False,False,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,opaque_symbolic_residual
0d90736f,equation_symbolic_punct,:,::)[,::-)[,5,5,1,4,)-:[,:,)-:[,!$)*+-/:[\`|,$()/:[\`|,True,True,True,True,True,True,4,0,0,21,equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,answer_chars_subset_query|answer_subsequence_query|answer_chars_seen_in_outputs
