id,answer,baseline_prediction,baseline_correct,status,reason,same_operator_examples,candidate_predictions,candidate_count,correct_candidate_present,label_free_prediction,label_free_correct,accepted,conflict,proof
e518256e,84,84,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
09d5ee68,!?'!,|:>>,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
00457d26,@&,\boxed[[!'},False,candidate,operator_local_string_multiset_transform,1,[[,1,False,[[,False,False,False,left_first_prefix2|left_first_x2
518deb39,$,{}>{,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
82109e34,-@>,'^^^',False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
5e67b1a1,63,63,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
e1728524,1089,0,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
e3bf0c2c,"""`",@`',False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
fdbdf50c,"-\""",|?|,False,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
47c1d8f5,]%],/`%`,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
f9a33aa1,/((`,@($/,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
9f2fae58,7272,7272,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
f9799a68,&:/?,:^?\,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
c24074a8,&/,]]]%,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
893ffb06,-@',@``:,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
cf4c04c0,-[,@|#|,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
8e411cc7,]]],$&&,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
41e6cbfc,9318,9318,True,candidate,operator_local_string_multiset_transform,3,9318,1,True,9318,True,False,False,concat_rl|concat_rl_prefix4|union_rl_prefix4
dea42835,['[/,['[/,True,ambiguous,multiple_operator_local_predictions,3,'/|'/'/|['/|['/[|['[/,5,True,,False,False,False,
48c25e0e,53,32,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
7ef4d5d6,>42,>42,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
3ee36e0a,-51,-51,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
39c237c7,{]``,{]``,True,candidate,operator_local_string_multiset_transform,2,{]``,1,True,{]``,True,False,False,concat_lr|concat_lr_prefix4
963e85bb,76,76,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
a98d4d53,-),!$$[,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
59733f94,/,$/>/,False,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
b1bc3731,63,63,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
a1523a63,87,87,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
3383d4ec,66,66,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
9dae880f,))[,:<`\,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
2af7134e,20,20,True,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
ae6be599,#`,$?]$,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
b26d8818,5983,5983,True,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
8494aad3,"""`#&","])<""",False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
