id,status,prediction,answer,baseline_prediction,verified_by_weak_label,incorrect_by_weak_label,promotable_after_class_gate,solver_mode,query,example_count,answer_vote_count,total_solution_votes,mapping,operator_mapping,proof
09d5ee68,abstain,,!?'!,|:>>,False,False,False,constraint_gate,|:*>>,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=>
00457d26,abstain,,@&,[[!',False,False,False,cryptarithm_solver,[[-!',4,,,{},{},no_candidate
518deb39,abstain,,$,{}$>,False,False,False,cryptarithm_solver,$$-<>,4,,,{},{},no_candidate
82109e34,abstain,,-@>,'^^^',False,False,False,cryptarithm_solver,'^-^^,4,,,{},{},no_candidate
e1728524,abstain,,1089,0,False,False,False,cryptarithm_solver,99/99,5,,,{},{},no_candidate
e3bf0c2c,abstain,,"""`",@`',False,False,False,cryptarithm_solver,@`}'',5,,,{},{},no_candidate
fdbdf50c,candidate,?%,"-\""",|?|,False,True,False,cryptarithm_nonunique_digit,|\-?|,5,1,1,"{""\"""": 1, ""%"": 0, ""'"": 1, "")"": 2, ""<"": 0, ""?"": 1, ""\\"": 0, ""]"": 9, ""^"": 1, ""|"": 0}","{""("": ""add"", ""-"": ""abs_diff"", ""}"": ""mul""}",unique_digits=False unique_answers=1 top_votes=1 total=1
47c1d8f5,candidate,/,]%],/`%`,False,True,False,cryptarithm_nonunique_digit,/`#%`,4,1,1,"{""%"": 0, ""("": 5, ""*"": 1, ""/"": 0, "">"": 5, ""@"": 0, ""]"": 5, ""^"": 5, ""`"": 0, ""{"": 1, ""}"": 0}","{""#"": ""add"", ""*"": ""add""}",unique_digits=False unique_answers=1 top_votes=1 total=1
f9a33aa1,abstain,,/((`,@($/,False,False,False,cryptarithm_solver,@(\$/,4,,,{},{},no_candidate
f9799a68,abstain,,&:/?,:^?\,False,False,False,constraint_gate,:^*?\,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=:?\^
c24074a8,abstain,,&/,]]]%,False,False,False,constraint_gate,]]`]%,5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=%
893ffb06,abstain,,-@',@``:,False,False,False,constraint_gate,@`-`:,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=`
cf4c04c0,abstain,,-[,@|#|,False,False,False,constraint_gate,@|-#|,5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=@
8e411cc7,abstain,,]]],$&&,False,False,False,constraint_gate,$&!&},4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=&
48c25e0e,abstain,,53,32,False,False,False,constraint_gate,43&11,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=4
a98d4d53,abstain,,-),!$$[,False,False,False,constraint_gate,!$-$[,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=!
59733f94,abstain,,/,$/>/,False,False,False,cryptarithm_solver,$/->/,5,,,{},{},no_candidate
9dae880f,abstain,,))[,:<`\,False,False,False,constraint_gate,:<}`\,5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=<
ae6be599,abstain,,#`,$?]$,False,False,False,constraint_gate,$?+]$,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=?]
8494aad3,abstain,,"""`#&","])<""",False,False,False,constraint_gate,"])*<""",4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=)]
e3890bf7,abstain,,{@%],(^@{,False,False,False,constraint_gate,(^*{@,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=@
d29e19a4,abstain,,?|,|''>,False,False,False,constraint_gate,|'$>',4,,,{},{},query_symbols_not_observed_in_arithmetic_examples='
b06625c4,abstain,,^&/,"""$ $]""",False,False,False,cryptarithm_solver,"""$*$]",4,,,{},{},no_candidate
52be4988,abstain,,'!,&&&`,False,False,False,cryptarithm_solver,&&+&`,5,,,{},{},no_candidate
99d6a3b5,abstain,,?()<,(<)),False,False,False,constraint_gate,(<%)),4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=(
2d3547af,abstain,,))^),\$\\,False,False,False,cryptarithm_solver,\$&\\,4,,,{},{},no_candidate
28b0ff48,abstain,,'],|^^^,False,False,False,cryptarithm_solver,|^-^^,3,,,{},{},no_candidate
61557701,abstain,,|&,'{),False,False,False,constraint_gate,'{+{),4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=)
02902eb3,abstain,,>/,!!$>,False,False,False,cryptarithm_solver,!!+$>,3,,,{},{},no_candidate
0d90736f,abstain,,:,::)[,False,False,False,cryptarithm_solver,::-)[,5,,,{},{},no_candidate
294453b5,abstain,,&(,##!),False,False,False,constraint_gate,##-!),3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=#
386b6d03,candidate,4,671,18,False,True,False,cryptarithm_nonunique_digit,79'97,3,300,500,"{""-"": 1, ""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 1, ""7"": 0, ""8"": 1, ""9"": 0}","{""'"": ""add"", ""-"": ""mul"", ""["": ""concat""}",unique_digits=False unique_answers=2 top_votes=300 total=500
57f6878e,abstain,,%{{,|@(!,False,False,False,constraint_gate,|@<:(,5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=(
a361a1b7,abstain,,:46,46,False,False,False,constraint_gate,53:99,5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=9
d911e8e1,abstain,,:\:,@}<',False,False,False,constraint_gate,@})<',3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=<
7688e06e,abstain,,-55,55,False,False,False,cryptarithm_solver,63-19,5,,,{},{},no_candidate
