id,answer,baseline_prediction,baseline_correct,candidate_prediction,candidate_correct,already_known_v414,status,reason,proof
3383d4ec,66,66,True,7239,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::pos:3:0,pos:4:0,pos:0:0,pos:1:0""], ""top_score"": [0, 0, 0, 0]}"
8df3daad,34,34,True,4511,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 3, ""loo_passed"": 3, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 3, ""top_programs"": [""all_examples::pos:0:0,pos:1:0,pos:3:0,pos:4:0""], ""top_score"": [-3, 0, 0, 0]}"
791056ce,4922,4922,True,75,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::sorted_shift:2:-3,seen_shift:3:-3""], ""top_score"": [0, 0, 6, 1]}"
56343b77,711,711,True,7417,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::pos:3:0,pos:4:0,pos:0:0,pos:1:0""], ""top_score"": [0, 0, 0, 0]}"
74fff108,49,49,True,89,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::ascii_shift:4:2,seen_shift:4:1"", ""all_examples::sorted_shift:4:2,seen_shift:4:1""], ""top_score"": [0, 0, 3, 0]}"
08d8d7e1,88,88,True,2365,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::pos:3:0,pos:4:0,pos:0:0,pos:1:0""], ""top_score"": [0, 0, 0, 0]}"
209c43f0,101,101,True,28,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::const::2,pos:3:0""], ""top_score"": [0, 1, 0, 0]}"
3c424916,9351,9351,True,2518,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::ascii_shift:3:-3,seen_shift:1:5,seen_shift:0:-5,pos:0:0"", ""all_examples::sorted_shift:3:-3,seen_shift:1:5,seen_shift:0:-5,pos:0:0""], ""top_score"": [0, 0, 13, 0]}"
21519be7,35,35,True,84,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::seen_shift:1:-2,ascii_shift:3:-1"", ""all_examples::seen_shift:1:-2,sorted_shift:3:-1""], ""top_score"": [0, 0, 3, 0]}"
4dbec546,611,611,True,6506,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 3, ""loo_passed"": 3, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 3, ""top_programs"": [""all_examples::pos:3:0,pos:4:0,pos:0:0,pos:1:0""], ""top_score"": [-3, 0, 0, 0]}"
